Year,Gun Deaths,Gun Death Rate,Age Adjusted,Homicides,Homicide Rate,Age Adjusted,Suicides,Suicide Rate,Age Adjusted,Population
1899-1945,,,,,,,,,,
1946,,,,,,,,,,"141,388,566"
1947,,,,,,,,,,"144,126,071"
1948,,,,,,,,,,"146,631,302"
1949,,,,,,,,,,"149,188,130"
1950,,,,,,,,,,"152,271,417"
1951,,,,,,,,,,"154,877,889"
1952,,,,,,,,,,"157,552,740"
1953,,,,,,,,,,"160,184,192"
1954,,,,,,,,,,"163,025,854"
1955,,,,,,,,,,"165,931,202"
1956,,,,,,,,,,"168,903,031"
1957,,,,,,,,,,"171,984,130"
1958,,,,,,,,,,"174,881,904"
1959,,,,,,,,,,"177,829,628"
1960,,,,,,,,,,"180,671,158"
1961,,,,,,,,,,"183,691,481"
1962,,,,,,,,,,"186,537,737"
1963,,,,,,,,,,"189,241,798"
1964,,,,,,,,,,"191,888,791"
1965,,,,,,,,,,"194,302,963"
1966,,,,,,,,,,"196,560,338"
1967,,,,,,,,,,"198,712,056"
1968,"21,481",10.8,12.1,"10,57",5.3,5.8,"10,911",5.5,6.3,"199,533,564"
1969,"22,585",11.2,12.5,"11,281",5.6,6.1,"11,304",5.6,6.4,"201,568,206"
1970,"24,137",11.9,13.1,"12,365",6.1,6.6,"11,772",5.8,6.6,"203,458,035"
1971,"26,062",12.6,13.8,"13,774",6.7,7.1,"12,288",5.9,6.7,"206,782,970"
1972,"27,912",13.3,14.4,"14,564",7.0,7.4,"13,348",6.4,7.1,"209,237,411"
1973,"28,406",13.4,14.4,"15,089",7.1,7.5,"13,317",6.3,6.9,"211,361,965"
1974,"30,543",14.3,15.2,"16,198",7.6,7.9,"14,345",6.7,7.3,"213,436,958"
1975,"30,472",14.1,14.9,"15,599",7.2,7.5,"14,873",6.9,7.4,"215,457,198"
1976,"28,671",13.2,13.7,"13,943",6.4,6.5,"14,728",6.8,7.2,"217,615,788"
1977,"30,101",13.7,14.1,"14,017",6.4,6.5,"16,084",7.3,7.7,"219,808,632"
1978,"29,829",13.4,13.7,"14,442",6.5,6.5,"15,387",6.9,7.2,"222,102,279"
