Record Id,Record URL,Document URL,Title,Original title,Date of original text,Last amended date,Available website,Language of document,Country/Territory,Regional organizations,Territorial subdivision,Type of text,Repealed,Abstract,Primary subjects,Domain,Keywords
LEX-FAOC214740,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC214740,https://faolex.fao.org/docs/pdf/chi214740.pdf,Contribución Determinada a Nivel Nacional (NDC) de Chile 2020.,,2020,,https://unfccc.int/,Spanish,Chile,,,Policy,,"El presente documento contiene la actualización de la Contribución Determinada a Nivel Nacional (NDC) de Chile al 2020. Estas contribuciones son los principales instrumentos que guían la acción climática en la búsqueda por detener el aumento de la temperatura promedio global, de aumentar la resiliencia del planeta, y de movilizar inversiones públicas y privadas en la senda de un desarrollo sostenible, que considere las variables ambientales, sociales y económicas de manera equilibrada. La presente actualización aumenta la ambición en todos sus componentes respecto de la NDC 2015 y pone un foco especial en la transparencia, claridad y seguimiento de las metas fijadas. Se incluye un nuevo pilar social específico sobre transición justa y desarrollo sostenible, el cual pone de relieve la condición de mayor vulnerabilidad de grupos de la población más expuestos por situaciones de base. En materia de mitigación se modifica el indicador de intensidad de emisiones, condicional e incondicional, por un indicador absoluto incondicional, con una meta a alcanzar de 95 MtCO2eq al 2030, comprometiendo además alcanzar el máximo de emisiones (año peak) al 2025, y un presupuesto de emisiones de GEI que no superará las 1.100 MtCO2eq para el período 2020-2030. También se busca mediante la presente actualización la integración de políticas públicas entre clima y aire limpio, con el fin de mitigar los contaminantes climáticos de vida corta, específicamente el carbono negro (BC). En materia de adaptación, se incluyen metas en dos ámbitos de especial urgencia para construir un país más resiliente: i) la gestión del agua y saneamiento; y ii) la gestión de riesgos de desastres. En lo relativo a la gestión del agua, el compromiso se enfoca en el desarrollo de indicadores que permitan establecer metas de seguridad hídrica, a nivel territorial y organizacional; la gestión del agua a escala de cuencas; y aumentar la resiliencia del sector de servicios sanitarios. Por último, se incorpora un nuevo componente de integración que contempla el rol de los océanos, de la economía circular, de los bosques, de las turberas y de los ecosistemas, como elementos que contribuyen de forma integral a enfrentar tanto las causas como los efectos e impactos del cambio climático. Algunos de las contribuciones que cabe destacar:  elaborar al 2021 una “Estrategia para la Transición Justa”, que resguarde los derechos de los más vulnerables en el proceso de descarbonización de la matriz energética y que cuente con participación ciudadana activa en su diseño e implementación; un presupuesto de emisiones de GEI que no superará las 1.100 MtCO2eq, entre el 2020 y 2030, con un máximo de emisiones (peak) de GEI al 2025, y a alcanzar un nivel de emisiones de GEI de 95 MtCO2eq al 2030; una reducción de al menos un 25% de las emisiones totales de carbono negro al 2030, con respecto al 2016; al 2021 se habrá definido el objetivo, alcance, metas y los elementos que conformarán el componente de adaptación en la Estrategia Climática de Largo Plazo de Chile; al 2025, se habrán fortalecido las capacidades y la institucionalidad de cambio climático a nivel regional; al 2025 se habrán realizado evaluaciones de riesgo al cambio climático para grupos vulnerables del país, con especial atención en pueblos originarios, pobreza y género; se fortalecerá la inclusión de actores no gubernamentales en la planificación e implementación de instrumentos de adaptación; al 2030 se habrán elaborado Planes Estratégicos de Cuenca para Gestión de Recursos Hídricos, considerando la adaptación al cambio climático, en las 101 cuencas del país; al 2022, se habrá elaborado un plan nacional específico por variable de riesgo de olas de calor a nivel nacional; al 2025, todas las regiones del país habrán incorporado acciones de adaptación al Cambio Climático en los Planes Regionales de Reducción del Riesgo de Desastres; desarrollar una Hoja de Ruta de Economía Circular 2020 a 2040; manejo sustentable y recuperación de 200.000 hectáreas de bosques nativos, representando capturas de GEI en alrededor de 0,9 a 1,2 MtCO2eq anuales, al año 2030; compromiso de forestar 200.000 hectáreas; reducir las emisiones del sector forestal por degradación y deforestación del bosque nativo en un 25% al 2030; al 2025, se habrán identificado las áreas de turberas, así como otros tipos de humedales, a través de un inventario nacional; se crearán nuevas áreas protegidas en ecorregiones marinas sub-representadas; todas las áreas marinas protegidas de Chile creadas hasta antes de 2020 contarán con su plan de manejo o administración y se encontrarán bajo implementación efectiva; etc. ",Climate change,Air & atmosphere; Environment; Forestry; Sea; Water; Wild species & ecosystems; General,public health; climate change; sustainable development; emissions; disasters; risk assessment/management; circular economy; gender; non-governmental entity; policy/planning; governance; forest management/forest conservation; afforestation/reforestation; water resources management; basin/catchment/watershed; wetlands; ecosystem conservation; air quality/air pollution; pollution control; emissions; marine area
LEX-FAOC169602,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC169602,https://faolex.fao.org/docs/pdf/chi169602.pdf,Plan de Acción Nacional de Cambio Climático 2008-2012.,,2008,,http://portal.mma.gob.cl,Spanish,Chile,,,Policy,,"El presente Plan de Acción Nacional de Cambio Climático fue diseñado para responder a los ejes y objetivos de la Estrategia Nacional de Cambio Climático. El objetivo general es minimizar los impactos adversos al cambio climático, a través de acciones integradas que permitan determinar la vulnerabilidad país y las medidas de adaptación para enfrentarlos adecuadamente, y contribuyendo al mismo tiempo a la mitigación de gases de efecto invernadero. El Plan, que es de alcance nacional y se refiere al período comprendido entre 2008 y 2012, establece las siguientes líneas prioritarias de acción: 1) Adaptación a los impactos del cambio climático; 2) Mitigación de las emisiones de gases de efecto invernadero; 3) Creación y fomento de capacidades. Los objetivos específicos del Plan son: a) evaluar los impactos ambientales y socio-económicos del cambio climático; b) analizar las opciones de mitigación de emisiones de gases de efecto invernadero (GEI); c) definir las medidas de adaptación al cambio climático y de mitigación de emisiones de GEI; d) mejorar la observación sistemática del clima; e) difundir y crear conciencia en la ciudadanía frente a los problemas derivados del cambio climático; f) fomentar la educación e investigación en cambio climático; g) generar información adecuada para la toma de decisión; h) desarrollar capacidades institucionales para la mitigación y la adaptación. El Plan aborda la cuestión de la seguridad alimentaria en relación con los efectos provocados por el cambio climático. En este sentido, una de las líneas prioritarias de acción es desarrollar un paquete de medidas de adaptación, con el fin de proteger la salud de las personas, los recursos hídricos y la producción de alimentos (además de la infraestructura urbana y costera y el suministro energético). Cabe asimismo destacar la atención brindada a los recursos hídricos. El Plan dispone establecer el nivel de vulnerabilidad de los recursos hídricos frente a escenarios climáticos proyectados a nivel de cuencas, identificando y evaluando los impactos climáticos en los sistemas hídricos seleccionados, y definir las opciones que permitan la adaptación del uso de los recursos hídricos al cambio climático. En cuanto a la biodiversidad, la propuesta es identificar los ecosistemas, hábitat y especies más vulnerables al cambio climático y evaluar su capacidad de adaptación, teniendo en cuenta los actuales instrumentos de gestión de la conservación de la biodiversidad en Chile y aquellos que sea necesario crear, con miras a una adaptación adecuada a los efectos que el cambio climático pueda provocar en los ecosistemas. Asimismo, el Plan hace hincapié en la inversión en energías renovables y la eficiencia energética. ",Climate change,Agriculture; Air & atmosphere; Energy; Environment; Food & nutrition; Water; Wild species & ecosystems,climate change; climate change; risk assessment/management; clean development mechanism; food security; climate change; risk assessment/management; sustainable development; biodiversity; climate change; climate change; ozone layer; renewable energy; risk assessment/management; clean development mechanism; renewable energy; climate change; clean development mechanism
LEX-FAOC088317,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC088317,https://faolex.fao.org/docs/pdf/chi88317.pdf,Decreto Nº 87 - Crea Consejo Asesor de Cambio Climático y Agricultura.,,06-10-2008,,,Spanish,Chile,,,Regulation,,"El presente Decreto establece el Consejo Asesor de Cambio Climático y Agricultura, cuyo objetivo consiste en apoyar en la definición de los aspectos y prioridades para los programas de adaptación al cambio climático en el ámbito silvoagropecuario, así como en la determinación de las medidas de mitigación que correspondan. ",Climate change,Air & atmosphere; Environment,institution; climate change; institution; climate change
LEX-FAOC168979,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC168979,https://faolex.fao.org/docs/pdf/chi168979.pdf,"Decreto Núm. 30 – Promulga el Acuerdo de París, adoptado en la Vigésimo Primera Reunión de la Conferencia de las Partes de la Convención Marco de las Naciones Unidas sobre el Cambio Climático.",,13-02-2017,,www.leychile.cl,Spanish,Chile,,,Regulation,,"Por medio de esta Ley se promulga el Acuerdo de París, adoptado en la Vigésimo Primera Reunión de la Conferencia de las Partes de la Convención Marco de las Naciones Unidas sobre Cambio Climático, en París, el 12 de diciembre de 2015. Dicho Acuerdo tiene por objeto reforzar la respuesta mundial a la amenaza del cambio climático, en el contexto del desarrollo sostenible y de los esfuerzos por erradicar la pobreza. ",Climate change,Air & atmosphere; Environment,climate change; clean development mechanism; ozone layer; sustainable development; ratification; climate change; clean development mechanism; ozone layer; ratification
LEX-FAOC188058,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC188058,https://faolex.fao.org/docs/pdf/chi188058.pdf,Decreto Nº 238 - Promulga Protocolo de Montreal Relativo a las Sustancias Agotadoras de la Capa de Ozono.,,08-03-1990,,www.leychile.cl,Spanish,Chile,,,Legislation,,"Por medio del presente Decreto se promulga el Protocolo de Montreal relativo a las sustancias que agotan la capa de ozono y su Anexo A,  adoptados en base a lo dispuesto en el Convenio de Viena para la Protección de la Capa de Ozono. ",Climate change,Air & atmosphere; Environment,pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text; pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text
LEX-FAOC188059,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC188059,https://faolex.fao.org/docs/pdf/chi188059.pdf,Decreto Nº 719 - Promulga Convenio de Viena para la Protección de la Capa de Ozono y sus Anexos I y II.,,28-09-1989,,www.leychile.cl,Spanish,Chile,,,Legislation,,En virtud del presente Decreto se promulga el Convenio de Viena para la protección de la capa de ozono. ,Climate change,Air & atmosphere; Environment,pollution control; air quality/air pollution; ozone layer; ratification; emissions; international agreement-text; pollution control; air quality/air pollution; ozone layer; ratification; emissions; international agreement-text
LEX-FAOC188105,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC188105,https://faolex.fao.org/docs/pdf/chi188105.pdf,Decreto Nº 349 - Promulga el Protocolo de Kyoto de la Convención Marco de las Naciones Unidas sobre el Cambio Climático y sus Anexos A y B.,,22-12-2004,,www.leychile.cl,Spanish,Chile,,,Legislation,,"En virtud del presente Decreto se promulga el Protocolo de Kyoto de la Convención Marco de las Naciones Unidas sobre el Cambio Climático y sus Anexos A y B, adoptados en Kyoto el 11 de diciembre de 1997. ",Climate change,Air & atmosphere; Environment,ratification; sustainable development; air quality/air pollution; climate change; ozone layer; emissions; pollution control; international agreement-text; ratification; air quality/air pollution; climate change; ozone layer; emissions; pollution control; international agreement-text
LEX-FAOC188127,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC188127,https://faolex.fao.org/docs/pdf/chi188127.pdf,Decreto Nº 123 - Promulga la Convención Marco de las Naciones Unidas sobre el Cambio Climático.,,31-01-1995,,www.leychile.cl,Spanish,Chile,,,Legislation,,"Por medio de este Decreto se promulga en Chile la Convención Marco de las Naciones Unidas sobre el Cambio Climático, adoptada en Nueva York el 9 de mayo de 1992. ",Climate change,Air & atmosphere; Environment,ratification; climate change; ozone layer; air quality/air pollution; pollution control; international agreement-text; ratification; climate change; ozone layer; air quality/air pollution; pollution control
LEX-FAOC207395,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC207395,https://faolex.fao.org/docs/pdf/chi207395.pdf,"Decreto Nº 1.536 - Promulga la Enmienda al Protocolo de Montreal, de 1977, relativo a las sustancias que agotan la capa de ozono.",,28-11-1991,,www.bcn.cl,Spanish,Chile,,,Regulation,,"El presente Decreto promulga la Enmienda adoptada el 29 de junio de 1990 por los Estados Partes del Protocolo de Montreal, de 1977, Relativo a las Sustancias que Agotan la Capa de Ozono, la cual fue adoptada en base a lo dispuesto en el Convenio de Viena para la Protección de la Capa de Ozono y en el mencionado Protocolo de Montreal. ",Climate change,Air & atmosphere; Environment,pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text; pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text
LEX-FAOC207405,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC207405,https://faolex.fao.org/docs/pdf/chi207405.pdf,"Decreto Nº 735 - Promulga las Enmiendas al Protocolo de Montreal, de 1977, relativo a las sustancias que agotan la capa de ozono.",,24-05-1994,,www.bcn.cl,Spanish,Chile,,,Regulation,,"El presente Decreto promulga las Enmiendas adoptadas el 25 de noviembre de 1992 por los Estados Partes del Protocolo de Montreal, de 1977, Relativo a las Sustancias que Agotan la Capa de Ozono, las que fueron adoptadas en base a lo dispuesto en el Convenio de Viena para la Protección de la Capa de Ozono y en el mismo Protocolo de Montreal. ",Climate change,Air & atmosphere; Environment,pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text; pollution control; air quality/air pollution; ozone layer; emissions; ratification; international agreement-text
