"Date","Chile, RETAIL, Santiago, Bread, CLP/Kg","Chile, RETAIL, Santiago, Pork meat, CLP/Kg","Chile, RETAIL, Santiago, Potatoes (Asterix), CLP/Kg","Chile, RETAIL, Santiago, Rice (first quality), CLP/Kg","Chile, WHOLESALE, National Average, Wheat, CLP/Kg","Chile, WHOLESALE, National Average, Maize (yellow), CLP/Kg"
"09/01/2023","2064.25","5109","2347.5","1906.75","",""
"08/01/2023","2072","5078","2361","1872","275",""
"07/01/2023","2045.5","4932.5","1604","1831.75","248.12","190"
"06/01/2023","2037.25","5681.75","1487.75","1852.25","240",""
"05/01/2023","2033.2","5343.8","1460","1809.8","283.75","208.5"
"04/01/2023","2011","5314.25","1474.5","1779.75","298.75","243.44"
"03/01/2023","2004.5","5632","1497.25","1802.75","285","263.25"
"02/01/2023","2010.75","5889","1439.5","1814.75","293.75",""
"01/01/2023","1974.2","5874.4","1389.6","1797","318",""
"12/01/2022","1905.5","5989","1344.25","1758","360.25",""
"11/01/2022","1901","5879","1347.2","1782.2","403","326.75"
"10/01/2022","1886","5844.75","1338.5","1729.75","415","322.5"
"09/01/2022","1908.75","5470","1342.5","1633.75","415","320"
"08/01/2022","1908.8","5259.2","1346.2","1597.6","430","280"
"07/01/2022","2004","4919.25","1375.25","1516.5","427.5","272.5"
"06/01/2022","1964.25","4506.25","1349.5","1445.25","416.25","279.38"
"05/01/2022","1904","4624.8","1343.2","1467.6","401.3","309"
"04/01/2022","1870","4612.5","1325.75","1495.25","329.62","309.38"
"03/01/2022","1826","4503.8","1298.2","1371.6","313","309.5"
"02/01/2022","1705","4654","1267","1337","299.25",""
"01/01/2022","1700","4407","1268","1308","296.88",""
"12/01/2021","1670","4681","1263","1285","295.1",""
"11/01/2021","1585","4441","1259","1305","278.75","262.5"
"10/01/2021","1531","4377","1261","1266","255","241.25"
"09/01/2021","1463","4702","1239","1268","242.4","234.38"
"08/01/2021","1518","4502","1226","1246","234.5","237.5"
"07/01/2021","1505","4696","1231","1222","219.8","231.5"
"06/01/2021","1501","4800","1205","1199","213.25","215.75"
"05/01/2021","1499","5003.03","1232","1203.5","211.88","206.38"
"04/01/2021","1492.59","4839.16","1276.39","1202.65","207.3","205.6"
"03/01/2021","1466.68","4970.14","1277.03","1187.19","201.88","207.5"
"02/01/2021","1460.76","4833.19","1279.57","1182.02","199.75",""
"01/01/2021","1431.14","4848.81","1308.45","1165.57","186",""
"12/01/2020","1429.84","4840.49","1237.52","1162.59","205.4",""
"11/01/2020","1427.74","4723.21","1207.65","1161.95","217","190"
"10/01/2020","1412.48","4565.74","1166.83","1159.85","205","182.5"
"09/01/2020","1409.53","4289.78","1180.88","1154.76","203.13","164.75"
"08/01/2020","1402.38","4192.83","1170.92","1153.63","202.5","155"
"07/01/2020","1382.84","4114.85","1141.73","1161.29","190.5","155"
"06/01/2020","1410.19","4217.22","1129.31","1162.83","192","156.5"
"05/01/2020","1411.41","4131.3","1170.46","1163.8","198.5","157.5"
"04/01/2020","1415.2","4411.85","1201.69","1169.47","204","163.85"
"03/01/2020","1428.93","4087.95","1165.71","1144.18","187.25","153.75"
"02/01/2020","1388.01","4279.2","1141.72","1121.2","182","153.13"
"01/01/2020","1349.83","4313.94","1164.79","1127.65","175.8","150.5"
"12/01/2019","1332.97","4233.94","1187.15","1089.32","178.88","157.5"
"11/01/2019","1295.69","4179.39","1176.28","1130.05","171.88","154.75"
"10/01/2019","1307.32","4268.15","1162.7","1119.05","165","146.5"
"09/01/2019","1313.78","4344.47","1128.42","1129.71","168.13","145"
"08/01/2019","1313.61","4180.34","1164.27","1126.32","172.4","146.6"
"07/01/2019","1318.52","4124.9","1149.66","1124.27","172.75","140.13"
"06/01/2019","1314.28","4150.17","1146.36","1121.29","174","133.88"
"05/01/2019","1295.41","3778.13","1143.34","1127.44","170.6","126.65"
"04/01/2019","1295.38","3764.36","1146.93","1124.11","171.13","129.38"
"03/01/2019","1293.52","3931.97","1162.27","1121.23","166.63","129.38"
"02/01/2019","1299.64","3741.03","1241.55","1124.87","169.88",""
"01/01/2019","1309.95","3698.47","1335.24","1122.49","175","165"
"12/01/2018","1308","3764","1549.86","1111","178.75","155.25"
"11/01/2018","1280","3967","1645.74","1135","180","145.6"
"10/01/2018","1277","4063","1377.26","1149","177.5","136.83"
"09/01/2018","1256","3848","1018.14","1153","168.63","134.38"
"08/01/2018","1242","3939","993.68","1150","162.5","132.5"
"07/01/2018","1235","3876","987.7","1139","154","130.13"
"06/01/2018","1238","3914","1041.26","1139","154.13","132.5"
"05/01/2018","1246","3962","1091.85","1150","151.5","130"
"04/01/2018","1243","3962","1117.43","1152","140.5","127.38"
"03/01/2018","1230","4220","1116.73","1140","141.5","132"
"02/01/2018","1221","4178","1106.74","1147","139","125"
"01/01/2018","1206","4271","1077.12","1161","141.13","124.88"
"12/01/2017","1224","4188","1018","1137","140.25","123.25"
"11/01/2017","1207","4060","957","1154","135","123.3"
"10/01/2017","1178","4148","896","1148","136.13","124.38"
"09/01/2017","1167","4039","952","1156","136.5","125"
"08/01/2017","1156","4193","914","1149","136.5","126.5"
"07/01/2017","1158","4217","914","1152","132.13","126.88"
"06/01/2017","1136","4134","973","1148","130.6","127.8"
"05/01/2017","1129","4080","1068","1140","128.25","127.25"
"04/01/2017","1121","4021","1090","1121","128.75","124.5"
"03/01/2017","1119","4313","1143","1105","125.6","140.5"
"02/01/2017","1120","4453","1091","1106","124.5","145.38"
"01/01/2017","1121","4266","1091","1089","130.38","144.13"
"12/01/2016","1114","4403","1082","1094","135.38","141.75"
"11/01/2016","1106","4225","1130","1085","139","140.3"
"10/01/2016","1104","4312","1042","1059","140","139.75"
"09/01/2016","1099","4329","1035","1059","140.63","138.5"
"08/01/2016","1092","4249","1043","1066","141.3","137.4"
"07/01/2016","1085","4366","1067","1067","140","134.13"
"06/01/2016","1084","3975","1136","1061","140.1","132.9"
"05/01/2016","1095","3961","1090","1066","139.63","123.99"
"04/01/2016","1100","3850","1117","1069","141.88","120.45"
"03/01/2016","1093","4004","","1069","127.5","133.4"
"02/01/2016","1088","4037","1396","1065","125.38","135.5"
"01/01/2016","1081","4005.4","1409","1060","143.63","135.5"
"12/01/2015","1074","4188","1518","1059","158.8","134.6"
"11/01/2015","1060","4146.4","1495.4","1062","164.38","131.5"
"10/01/2015","1058","4191.8","1421.8","1064","167.2","131"
"09/01/2015","1058","4204.4","1306.4","1058","163","130.38"
"08/01/2015","1043","3928","1075","1050","158.75","128.5"
"07/01/2015","1038","3990","957","1030","160.4","122.15"
"06/01/2015","1023","3874","","1019","158","115"
"05/01/2015","1025","3886","","1000","160.63","118.13"
"04/01/2015","1027","4001","","958","160.1","122.9"
"03/01/2015","1031","3984","1002","957","158.63","133.13"
"02/01/2015","1018","4019","981","942","159.88","138.25"
"01/01/2015","1014","4074","1057","928","168.13","135"
"12/01/2014","1010","4299","1058.2","911","172.5","133.2"
"11/01/2014","1006","4485","1084.8","905","171.5","133"
"10/01/2014","1004","4358","950","902","166.9","131.3"
"09/01/2014","987","4334","920.2","898","168.25","130"
"08/01/2014","988","4139","891.8","897","167.8","128.4"
"07/01/2014","976","4079","856.8","900","166.25","126.38"
"06/01/2014","984","4079","877.6","866","165","131.75"
"05/01/2014","983","3890","840.4","855","164.9","134.65"
"04/01/2014","974","3832","886.6","846","162","134.75"
"03/01/2014","975","3840","889.2","834","157.62","133.5"
"02/01/2014","968.9","3790.9","876","834","153.25","131.5"
"01/01/2014","985.6","3939","936","832","156.2","131.9"
"12/01/2013","979.3","3800.9","1214.75","833","164.12","125.63"
"11/01/2013","983.6","3719.6","1355.2","835","162.8","121"
"10/01/2013","979","3699.8","1120.2","854","162.25","123.38"
"09/01/2013","979.75","3736.8","871","822","162.5","122.7"
"08/01/2013","969.6","3411.54","671.6","841","162.5","128.2"
"07/01/2013","979.52","3351.78","702.4","816","162.5","128.35"
"06/01/2013","975.4","3666.25","654.6","828","162.5","124.85"
"05/01/2013","991","3705","","829","160.5","122.36"
"04/01/2013","977","4441","","827","162.5","128.05"
"03/01/2013","978","3805","","829","165","142.4"
"02/01/2013","945","3625","","820","167.5","146"
"01/01/2013","941","3964","","820","167.5","146"
"12/01/2012","938","4035","","836","170.5","142.62"
