Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,100
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,113
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,114
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,114
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,116
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,100
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,116
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,118
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,120
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,125
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,100
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,120
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,122
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,125
Livestock,Productivity,Raising of buffaloes,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,131
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,558
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,500
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,481
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,461
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,425
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,558
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,502
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,491
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,482
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,468
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,558
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,505
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,489
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,475
Livestock,Productivity,Raising of buffaloes,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,451
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,23325.392
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,22544.634
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,22920.176
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,23462.013
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,24251.329
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,23325.392
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,24943.405
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,25920.92
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,27002.075
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,28645.301
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,23325.392
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,26675.946
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2035,27177.181
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2040,27445.018
Livestock,Herd sizes,Raising of buffaloes,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2050,27129.737
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,142
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,169
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,171
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,173
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,177
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,142
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,175
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,179
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,182
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,189
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,142
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,189
