Record Id,Record URL,Document URL,Title,Original title,Date of original text,Last amended date,Available website,Language of document,Country/Territory,Regional organizations,Territorial subdivision,Type of text,Repealed,Abstract,Primary subjects,Domain,Keywords
LEX-FAOC061452,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC061452,https://faolex.fao.org/docs/pdf/chi61452.pdf,Ley Nº 20.089 - Crea Sistema Nacional de Certificación de Productos Orgánicos Agrícolas.,,21-12-2005,30-05-2015,www.leychile.cl,Spanish,Chile,,,Legislation,,"La presente Ley tiene por objeto la creación y regulación del Sistema Nacional de Certificación de Productos Orgánicos Agrícolas. Todo producto orgánico proveniente de sistemas holísticos de gestión de la producción en el ámbito agrícola, pecuario o forestal, que fomenta y mejora la salud de los agro ecosistemas, la biodiversidad, los ciclos biológicos y la actividad biológica del suelo, deberá ser producido, elaborado, envasado y manejado de conformidad con las reglas aquí establecidas. El Sistema será de adscripción voluntaria. Sin embargo, únicamente los productores adscriptos al mismo y que cumplan con sus normas estarán facultados para utilizar en la rotulación, identificación o denominación de sus productos las expresiones “productos orgánicos” y equivalentes, entre los que se incluyen productos ecológicos y utilizar el sello oficial que exprese esa calidad. El Servicio Agrícola y Ganadero será la autoridad competente encargada de fiscalizar el cumplimiento de esta ley y su normativa complementaria.. Los artículos 9º y 10 establecen las sanciones a ser aplicadas en caso de infracción. ",Agricultural & rural development,Agriculture; Livestock; Food & nutrition; Forestry; Cultivated plants,ecological production/organic production; ecological production/organic production; ecological production/organic production; certification; offences/penalties; agricultural commodities; ecological production/organic production; certification; packaging/labelling; offences/penalties; fraud/deceit/adulteration; packaging/labelling; ecological production/organic production; ecological production/organic production; certification; packaging/labelling; offences/penalties; agroecology; basic legislation
LEX-FAOC205091,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC205091,https://faolex.fao.org/docs/pdf/chi205091.pdf,Código Civil.,,14-12-1855,11-09-2020,https://leyes-cl.com,Spanish,Chile,,,Legislation,,"El Código Civil Chileno fue uno de los primeros en ser adoptados en América Latina. Impulsado por Andrés Bello, ha servido de modelo para el desarrollo de los códigos civiles de Nicaragua, Hondura o Colombia, entre otros. Ha sido modificado en diversas ocasiones a través de leyes como la ley nº4.808 sobre registro civil; la ley nº17.344, que autoriza cambio de nombres y apellidos; la ley nº16.618, ley de menores; la ley nº 14.908, sobre abandono de familia y pago de pensiones alimenticias; y la ley nº16.271, de impuesto a las herencias, asignaciones y donaciones. El texto del Código se compone de los siguientes Libros: I) De las personas; II) De los bienes, y de su dominio, posesión, uso y goce; III) De la sucesión por causa de muerte, y de las donaciones entre vivos; IV) De las obligaciones en general y los contratos. DERECHO DE PROPIEDAD Y OTROS DERECHOS REALES.  El Libro Segundo establece el régimen aplicable a los bienes,  que se clasifican en cosas corporales o incorporales (art. 565), dividiéndose las cosas corporales en muebles e inmuebles (art. 566). Cabe destacar dentro del título I dedicado al dominio el artículo 585, según el cual las cosas que la naturaleza ha hecho comunes a todos los hombres, como la alta mar, no son susceptibles de dominio, y ninguna nación, corporación o individuo tiene derecho de apropiárselas. Los modos de adquirir el dominio son la ocupación, la accesión, la tradición, la sucesión por de muerte, y la prescripción (art. 587). Por otra parte, el título III del mismo libro regula los bienes nacionales, dedicando el artículo 593 a definir el limite del mar adyacente que corresponde al dominio nacional, así como la zona contigua y la zona económica exclusiva (art. 596). El artículo1960 contempla la expropiación por causa pública. En el título V también se regulan el derecho de accesión, por el cual el dueño de una cosa pasa a serlo de  lo que ella produce, o de lo que se junta a ella (art. 643). El título VI, por su parte, regula la Tradición como otro modo de adquirir el dominio de las cosas, que consiste en la entrega  que el dueño hace de ellas a otro, habiendo por una parte la facultad e intención de transferir el  dominio, y por otra la capacidad e intención de adquirirlo. SUCESIONES. El Libro Tercero regula las sucesiones, tanto testamentaria (en virtud de testamento) como abintestato (en virtud de la ley). Destaca el capítulo IV, dedicado en su apartado 2 a las asignaciones testamentarias condicionales, y en concreto el artículo 1078, según el cual las asignaciones testamentarias bajo  condición suspensiva, no confieren al asignatario  derecho alguno, mientras pende la condición, sino el de implorar las providencias conservativas necesarias, y, cumplida la condición, no tendrá derecho a los  frutos percibidos en el tiempo intermedio, si el  testador no se los hubiere expresamente concedido. OBLIGACIONES Y CONTRATOS. El Libro Cuarto regula las obligaciones en general y los contratos como fuentes de obligaciones. Se prevén disposiciones sobre el consentimiento, el objetivo y motivo de los contratos, la forma y las cláusulas que pueden contener. La Parte Segunda del Libro está dedicada a las distintas especies de contratos, como la compraventa (art. 1793), la permuta (art. 1897), la cesión de derechos (art. 1901) y el arrendamiento (art. 2398), entre otros. Cabe destacar disposiciones especiales sobre arrendamiento de predios rústicos (arts. 1978 a 1986). También destaca el título XXXIX dedicado a la anticresis, un contrato por el que se entrega al acreedor una cosa raíz para que  se pague con sus frutos (arts. 2435 a 2445). Por último, resaltar que dentro de este libro se regula en el título XXII las convenciones matrimoniales y de la sociedad conyugal, disponiendo el artículo 1749 que el marido es jefe de la sociedad conyugal, y como tal administra los bienes sociales y los de su mujer. Como administrador de la sociedad conyugal, el marido ejercerá los derechos de la mujer que siendo socia de una sociedad civil o comercial se casare, sin perjuicio de lo dispuesto en el artículo 150. CULTIVOS Y BOSQUES. En relación a los cultivos, destacan reglas particulares relativas al arrendamiento de  predios rústicos (arts. 1978 a 1986). En concreto, el artículo 1980 establece la obligación del colono o arrendatario rústico de conservar los árboles y bosques, limitando el  goce de ellos a los términos estipulados. No habiendo estipulación, se limitará el colono a  usar del bosque en los objetos que conciernan al cultivo  y beneficio del mismo fundo; pero no podrá cortarlo para  la venta de madera, leña o carbón. Por otra parte, La facultad que tenga el colono para  sembrar o plantar, no incluye la de derribar los árboles  para aprovecharse del lugar ocupado por ellos; salvo que  así se haya expresado en el contrato (art. 1981). Por último, en lo que concierne a la pérdida o deterioro de la cosecha, el artículo 1983 establece que ésta no podrá ser utilizada por el colono para reclamar una rebaja del precio de la renta. GANADO. Son distintas las disposiciones que a lo largo del Código regulan el ganado. Primero, dentro del usufructo, el artículo 788 aborda el usufructuario de ganados y rebaños, obligado a reponer los animales que mueren o se pierden,  pero sólo con el incremento natural de los mismos  ganados o rebaños; salvo que la muerte o pérdida fueren  imputables a su hecho o culpa, pues en este caso deberá  indemnizar al propietario. En cambio, si el ganado o rebaño perece del todo o en gran  parte por efecto de una epidemia u otro caso fortuito,  el usufructuario no estará obligado a reponer los  animales perdidos, y cumplirá con entregar los despojos  que hayan podido salvarse (art. 788). Por otra parte, dentro del arriendo de predios rústicos, Siempre que se arriende un predio con  ganados y no hubiere acerca de ellos estipulación  especial contraria, pertenecerán al arrendatario todas  las utilidades de dichos ganados, y los ganados mismos,  con la obligación de dejar en el predio al fin del  arriendo igual número de cabezas de las mismas edades y  calidades. Si al fin del arriendo no hubiere en el predio  suficientes animales de las edades y calidades dichas  para efectuar la restitución, pagará la diferencia en  dinero (art. 1984). Por otro lado, en tema de apropiación de animales, cabe señalar el artículo 619 señala que los animales bravíos pertenecen al dueño de las jaulas, pajareras, conejeras, colmenas, estanques o corrales en que estuvieren encerrados; pero luego que recobran su libertad natural, puede cualquier persona apoderarse de ellos y hacerlos suyos, con tal que actualmente no vaya el dueño en seguimiento de ellos, teniéndolos a la vista. Además, en materia apícola, cabe resaltar el artículo 620, según el cual las abejas que huyen de la colmena y posan en árbol que no sea del dueño de ésta, vuelven a su libertad natural, y cualquiera puede apoderarse de ellas, y de los panales fabricados por ellas, con tal que no lo hagan sin permiso del dueño en tierras ajenas, cercadas o cultivadas, o contra la prohibición del mismo en las otras; pero al dueño de la colmena no podrá prohibirse que persiga a las abejas fugitivas en tierras que no estén cercadas ni cultivadas. AGUAS. Las aguas son definidas en el Código como bienes nacionales de uso público en el artículo 595, dentro del título III del libro II, dedicado a los bienes nacionales. Además, conforme al artículo 593, las aguas situadas en el interior de las líneas de base del mar territorial, forman parte de las aguas interiores del Estado. También dentro del derecho de accesión encontramos diversas disposiciones relevantes en lo que concierne a la accessión del suelo por aluvión (art. 649). El terreno de aluvión accede a las heredades riberanas dentro de sus respectivas líneas de demarcación, prolongadas directamente hasta el agua; pero en puertos habilitados pertenecerá al Estado (art. 650). Dentro de ese título encontramos además diversas disposiciones sobre la restitución de los cauces de los ríos y las nuevas islas.  Por otra parte, dentro del régimen de servidumbres, en lo relativo a las naturales el artículo 833 dispone que el predio inferior está sujeto a recibir las aguas que descienden del predio superior naturalmente. En el predio servil no se puede hacer cosa alguna que estorbe la servidumbre natural, ni en el predio dominante, que la grave. Las servidumbres establecidas en este artículo se regirán por el Código de Aguas. Además, el título también contempla la servidumbre de acueducto (art. 861), según el cual toda heredad está sujeta a la servidumbre de acueducto en favor de otra heredad que carezca de las aguas necesarias para el cultivo de sementeras, plantaciones o pastos, o en favor de un pueblo que las haya menester para el servicio doméstico de los habitantes. RECURSOS MINERALES. El artículo 591 establece que el Estado es dueño de todas las minas de oro, plata, cobre, azogue, estaño, piedras preciosas, y demás substancias fósiles, no obstante el dominio de las corporaciones o de los particulares sobre la superficie de la tierra en cuyas entrañas estuvieren situadas. Pero se concede a los particulares la facultad de catar y cavar en tierras de cualquier dominio para buscar las minas a que se refiere el precedente inciso, la de labrar y beneficiar dichas minas, y la de disponer de ellas como dueños, con los requisitos y bajo las reglas que prescribe el Código de Minería. ",Private sector & entrepreneurship,Agriculture; Livestock; Forestry; Land & soil; Mineral resources; Cultivated plants; Sea; Water; General,Civil Code; contracts; inheritance; gender; agricultural land; contracts; land tenure; lease; animal production; ownership; apiculture/sericulture; timber; timber extraction/logging; forest management/forest conservation; agricultural land; urban land; abandoned land/unoccupied land; expropriation; common property; private land; property rights; lease; ownership; contracts; servitude; transfer rights ; public land; prescription/adverse possession; plant protection; planting material/seeds; plant production; public water; water abstraction; groundwater; surface water; water rights; waterworks; well sinking/boreholes; navigation; basin/catchment/watershed; servitude; rainwater; property rights; minerals; concession; EEZ-Exclusive Economic Zone; continental shelf; maritime zone
LEX-FAOC090363,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC090363,https://faolex.fao.org/docs/pdf/chi90363.pdf,"Resolución Nº 5.663 - Modifica Resolución Nº 2.979 de 2001, que dispone regulaciones fitosanitarias para el ingreso de maquinaria agrícola usada.",,24-09-2009,,,Spanish,Chile,,,Regulation,Y,"Las presentes disposiciones amplían el ámbito de aplicación de la Resolución Nº 2.979 de 2001, en el sentido de incluir la maquinaria forestal. Asimismo, introducen nuevas normas que especifican los antecedentes que el importador o su representante deberá presentar en la oficina del Servicio Agrícola y Ganadero del punto de entrada, junto con el Certificado de Destinación Aduanera. ",Cultivated plants,Agriculture; Forestry; Cultivated plants,equipment; international trade; plant protection; pests/diseases; plant protection; pests/diseases; hygiene/sanitary procedures
LEX-FAOC212398,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC212398,https://faolex.fao.org/docs/pdf/chi212398.pdf,"Decreto con Fuerza de Ley Nº 15 - Modifica leyes de control aplicables por el Ministerio de Agricultura, establece normas sobre actividades apícolas y sanciona la explotación ilegal de maderas.",,22-01-1968,11-07-2008,www.bcn.cl,Spanish,Chile,,,Legislation,,"El presente Decreto con fuerza de ley introduce modificaciones al Decreto con fuerza de ley RRA. N° 16, de 1963 (Art. 4º), y al Decreto con fuerza de ley RRA. N° 25, de 1963 (Art 5º). También establece normas sobre la explotación ilegal de madera (Art 6º-10); y normas sobre la explotación de colmenares, incluyendo el uso de pesticidas, importación de abejas, etc. (Art 14-28); entre otras. ",Livestock; Forestry,Agriculture; Livestock; Forestry,apiculture/sericulture; pesticides; apiculture/sericulture; international trade; timber extraction/logging; timber; offences/penalties; forest management/forest conservation
LEX-FAOC027048,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC027048,https://faolex.fao.org/docs/pdf/chi27048.pdf,Decreto Ley Nº 3.557 - Establece disposiciones sobre protección agrícola.,,29-12-1980,27-12-2008,,Spanish,Chile,,,Legislation,,"El presente Decreto Ley establece disposiciones sobre protección agrícola, disponiendo que corresponderá al Servicio Agrícola y Ganadero aplicar las presentes normas y las medidas técnicas que sean procedentes, sin perjuicio de las atribuciones que competen al Ministerio de Agricultura. En especial, le corresponderá aplicar, entre otras medidas, las siguientes: cuarentena o aislamiento; eliminación; desinfección y desinfectación, e industrialización. Igualmente, deberá fiscalizar el cumplimiento de dichas normas y medidas. ",Livestock; Cultivated plants,Agriculture; Livestock; Cultivated plants,agricultural commodities; disinfection/disinfestation; institution; public health; certification; offences/penalties; animal health; pests/diseases; animal feed/feedstuffs; veterinary drugs; internal trade; international trade; inspection; certification; framework law; plant protection; institution; pests/diseases; fertilizers/nutrients; hygiene/sanitary procedures; transport/storage; planting material/seeds; certification; pesticides; internal trade; international trade; legal proceedings/administrative proceedings; quarantine; offences/penalties; plant production
LEX-FAOC050957,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC050957,https://faolex.fao.org/docs/pdf/chi50957.pdf,Ley Nº 18.755 - Establece Normas sobre el Servicio Agrícola y Ganadero.,,23-10-1988,09-01-2014,leychile.cl,Spanish,Chile,,,Legislation,,"La presente Ley establece normas relativas a la organización y al funcionamiento del Servicio Agrícola y Ganadero, el cual tendrá por objeto contribuir al desarrollo agropecuario del país. En particular, el mismo se encargará de la protección, mantención e incremento de la salud animal y vegetal, así como de la protección y conservación de los recursos naturales renovables que inciden en el ámbito de la producción agropecuaria del país. En virtud de lo dispuesto por el artículo 41, el Servicio Agrícola y Ganadero será la única autoridad encargada de la inspección y el control sanitario de los productos farmacéuticos de uso exclusivamente veterinario. El artículo 42 prohíbe la fabricación, importación, tenencia, distribución y transferencia de dichos productos cuando no estén registrados, o se encuentren contaminados, adulterados o falsificados. ",Agricultural & rural development; Livestock; Cultivated plants,Agriculture; Livestock; Cultivated plants,agricultural development; basic legislation; institution; agricultural development; inspection; veterinary drugs; animal health; pests/diseases; inspection; enforcement/compliance; animal feed/feedstuffs; basic legislation; plant protection; pests/diseases; inspection; enforcement/compliance
LEX-FAOC140103,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC140103,https://faolex.fao.org/docs/pdf/chi140103.pdf,Ley Nº 20.797 - Crea un Registro Voluntario de Contratos Agrícolas.,,20-11-2014,,www.leychile.cl,Spanish,Chile,,,Legislation,,"La presente Ley establece un sistema de inscripción voluntaria en un registro público, nacional y único de los contratos de  compraventa de productos agrícolas con entrega a plazo. A tal efecto la Ley entiende por contratos agrícolas aquellos contratos de compraventa de productos agrícolas celebrados entre un productor agrícola y un agroindustrial o un intermediario; se entiende por producto agrícola la materia prima de origen vegetal o animal obtenida del cultivo de la tierra o de la ganadería, sea que se encuentre cosechada o pendiente. ",Agricultural & rural development,Agriculture; Livestock; Cultivated plants,contracts; business/industry/corporations; contract farming; comparative analysis; agricultural commodities; contracts; contract farming; business/industry/corporations; contracts; contract farming; business/industry/corporations
LEX-FAOC158851,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC158851,https://faolex.fao.org/docs/pdf/chi158851.pdf,"Decreto Nº 149 - Reglamento de la Ley Nº 20.797, que crea un Registro Voluntario de Contratos Agrícolas.",,19-10-2015,,www.leychile.cl,Spanish,Chile,,,Regulation,,"El presente Decreto tiene por objeto la reglamentación de la Ley Nº 20.797, que estableció el Registro Voluntario de Contratos Agrícolas. En particular, estas disposiciones regulan el sistema de inscripción voluntaria de los contratos de compraventa de productos agrícolas con entrega a plazo en un registro público, nacional y único. Como regla general, se establece que la inscripción del contrato en dicho Registro hará fe entre las partes: a) del hecho de haberse otorgado el contrato respectivo y su fecha; b) de las partes del mismo; c) del objeto del contrato; d) de la fecha de término del contrato; e) de las demás disposiciones del contrato que se incorporen en el formulario. ",Agricultural & rural development,Agriculture; Livestock; Cultivated plants,contracts; business/industry/corporations; contract farming; comparative analysis; contracts; business/industry/corporations; contract farming; comparative analysis; contracts; business/industry/corporations; contract farming; comparative analysis
LEX-FAOC207224,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC207224,https://faolex.fao.org/docs/pdf/chi207224.pdf,"Decreto Nº 309 - Fija cobro mínimo y establece cobro por los tiempos de esperas y cautivos en las prestaciones de servicios que realiza el Servicio Agrícola y Ganadero, a solicitud de terceros, según se indica.",,18-08-2016,,www.bcn.cl,Spanish,Chile,,,Regulation,,"El presente Decreto del Ministerio de Agricultura, establece un cobro mínimo de 0,25 UTM para las prestaciones realizadas por el Servicio Agrícola y Ganadero, a solicitud de terceros, con las excepciones que se encuentran en la actualidad reguladas en decretos específicos. ",Livestock; Cultivated plants,Agriculture; Livestock; Cultivated plants,institution; royalties/fees; institution; royalties/fees; institution; royalties/fees
LEX-FAOC207225,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC207225,https://faolex.fao.org/docs/pdf/chi207225.pdf,Decreto Nº 142 - Fija tarifas por las labores de inspección que realiza el Servicio Agrícola  y Ganadero. Deroga Decreto No. 50 de 1983.,,14-10-1990,22-02-2008,www.bcn.cl,Spanish,Chile,,,Regulation,,"El presente Decreto del Ministerio de Agricultura fija las tarifas por las inspecciones que a solicitud terceros practique el Servicio Agrícola y Ganadero (SAG), en cumplimiento de las funciones y atribuciones que la ley le encomienda. ",Livestock; Cultivated plants,Agriculture; Livestock; Cultivated plants,institution; royalties/fees; inspection; institution; royalties/fees; inspection; institution; royalties/fees; inspection
