REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
XV,ARICA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,25","0,25","0,25","0,25","0,00","0,25","0,50"
XV,CAMARONES,,,,,,,,,,,,,,,,,
XV,PUTRE,,,,,,,,,,,,,,,,,
XV,GENERAL LAGOS,,,,,,,,,,,,,,,,,
I,IQUIQUE,,,,,,,,,,,,,,,,,
I,ALTO HOSPICIO,,,,,,,,,,,,,,,,,
I,COLCHANE,,,,,,,,,,,,,,,,,
I,HUARA,,,,,,,,,,,,,,,,,
I,PICA,,,,,,,,,,,,,,,,,
II,ANTOFAGASTA,,,,,,,,,,,,,,,,,
II,MEJILLONES,,,,,,,,,,,,,,,,,
II,SIERRA GORDA,,,,,,,,,,,,,,,,,
II,TALTAL,,,,,,,,,,,,,,,,,
II,CALAMA,,,,,,,,,,,,,,,,,
II,OLLAGUE,,,,,,,,,,,,,,,,,
II,SAN PEDRO DE ATACAMA,,,,,,,,,,,,,,,,,
II,TOCOPILLA,,,,,,,,,,,,,,,,,
II,MARIA ELENA,,,,,,,,,,,,,,,,,
III,COPIAPÓ,,,,,,,,,,,,,,,,,
III,CALDERA,,,,,,,,,,,,,,,,,
III,TIERRA AMARILLA,,,,,,,,,,,,,,,,,
III,CHAÑARAL,,,,,,,,,,,,,,,,,
III,DIEGO DE ALMAGRO,,,,,,,,,,,,,,,,,
III,VALLENAR,10,"0,00","0,00","0,00","0,00","0,93","0,10","1,03","0,63","18,71","7,99","27,33","28,36","0,00","0,00","0,00","28,36"
III,ALTO DEL CARMEN,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,03","0,03","0,00","0,00","0,00","0,03"
III,FREIRINA,1,"0,00","0,00","0,00","0,00","6,40","0,00","6,40","0,90","0,00","1,90","2,80","9,20","0,00","0,00","0,00","9,20"
III,HUASCO,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,35","0,00","4,35","4,35","0,30","0,00","0,30","4,65"
IV,ANDACOLLO,,,,,,,,,,,,,,,,,
IV,COQUIMBO,,,,,,,,,,,,,,,,,
IV,LA HIGUERA,,,,,,,,,,,,,,,,,
IV,LA SERENA,29,"0,00","0,00","0,00","0,00","37,71","0,00","37,71","0,31","8,52","1,60","10,43","48,14","0,00","0,00","0,00","48,14"
IV,PAIHUANO,3,"0,00","0,00","0,00","0,00","4,00","0,00","4,00","16,00","22,00","8,70","46,70","50,70","1,30","0,00","1,30","52,00"
IV,VICUNA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,90","1,80","1,00","3,70","3,70","0,00","0,00","0,00","3,70"
IV,COMBARBALA,,,,,,,,,,,,,,,,,
IV,MONTE PATRIA,1,"0,00","0,00","0,00","0,00","3,50","0,00","3,50","0,00","0,00","0,00","0,00","3,50","0,00","0,00","0,00","3,50"
IV,OVALLE,50,"0,00","0,00","0,00","0,00","25,70","0,00","25,70","78,70","166,23","37,02","281,95","307,65","1,00","0,01","1,01","308,66"
IV,PUNITAQUI,,,,,,,,,,,,,,,,,
IV,RIO HURTADO,,,,,,,,,,,,,,,,,
IV,CANELA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,50","0,50","2,00","2,00","0,00","0,00","0,00","2,00"
IV,ILLAPEL,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,32","16,00","20,32","20,32","0,00","0,00","0,00","20,32"
IV,LOS VILOS,11,"0,00","0,00","0,00","0,00","4,50","0,00","4,50","910,20","2.019,05","224,76","3.154,01","3.158,51","0,00","0,00","0,00","3.158,51"
IV,MINCHA,,,,,,,,,,,,,,,,,
IV,SALAMANCA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,25","10,75","22,00","43,00","43,00","0,00","0,00","0,00","43,00"
V,CABILDO,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,60","2,40","3,01","3,01","0,00","0,00","0,00","3,01"
V,LA LIGUA,38,"0,00","0,00","0,30","0,30","0,96","2,55","3,81","713,47","389,91","1.745,69","2.849,07","2.852,88","0,00","3,60","3,60","2.856,48"
V,PAPUDO,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,54","2,07","2,22","4,83","4,83","0,00","0,00","0,00","4,83"
V,PETORCA,2,"0,00","0,00","0,00","0,00","0,00","2,90","2,90","0,00","10,00","14,00","24,00","26,90","0,00","0,00","0,00","26,90"
V,ZAPALLAR,14,"0,00","0,00","0,00","0,00","1,00","0,00","1,00","327,40","314,83","172,41","814,64","815,64","0,00","0,00","0,00","815,64"
V,CALLE LARGA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,30","5,70","9,00","9,00","0,00","0,00","0,00","9,00"
V,LOS ANDES,4,"0,00","0,00","0,00","0,00","1,50","0,00","1,50","0,00","14,10","20,60","34,70","36,20","0,00","0,00","0,00","36,20"
V,RINCONADA,2,"0,00","0,00","0,00","0,00","0,00","1,30","1,30","0,00","0,05","0,30","0,35","1,65","0,00","0,05","0,05","1,70"
V,SAN ESTEBAN,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","250,00","300,00","300,00","0,00","0,00","0,00","300,00"
V,CATEMU,8,"0,00","0,00","0,00","0,00","2,84","0,00","2,84","0,20","42,40","89,44","132,04","134,88","0,00","0,00","0,00","134,88"
V,LLAILLAY,8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,35","342,28","1.250,17","1.652,79","1.652,79","0,00","0,00","0,00","1.652,79"
V,PANQUEHUE,,,,,,,,,,,,,,,,,
V,PUTAENDO ,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,47","1,23","1,70","1,70","0,05","0,00","0,05","1,75"
V,SAN FELIPE,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,26","2,03","3,29","3,29","0,00","0,06","0,06","3,35"
V,SANTA MARIA,,,,,,,,,,,,,,,,,
V,HIJUELAS,9,"0,00","0,10","0,00","0,10","0,10","2,10","2,30","90,41","85,03","131,41","306,85","309,15","0,00","0,00","0,00","309,15"
V,CALERA,4,"0,00","0,00","0,00","0,00","4,00","0,00","4,00","0,00","9,06","30,02","39,08","43,08","0,00","0,00","0,00","43,08"
V,LA CRUZ,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,06","5,00","8,06","8,06","0,00","0,00","0,00","8,06"
