MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,,,"1,0","0,5",,,,,,,,
AGOSTO,,,"175,6",,"1,5",,"1,3","0,3",,,,
SEPTIEMBRE,,,"295,0",,,,"0,1",,,"0,8","20,0",
OCTUBRE,,,"140,5","13,3","20,1","12,6","52,1","18,1","0,5","0,3","134,3",
NOVIEMBRE,,"15,0","182,1","144,1","89,3","35,8","372,7","75,7","21,9","1,2",,"0,0"
DICIEMBRE,,"7,4","1.270,7","297,8","125,5","312,5","1.272,0","251,3","7,7","19,3","8,2","0,0"
ENERO,,"20,7","341,1","869,9","5.082,4","17.115,6","4.412,3","6.082,8","65,7","2.365,5","3,3","0,1"
FEBRERO,,"25,7","800,7","221,9","3.635,1","4.551,3","24.544,2","18.759,4","390,9","1.842,9","66,6","3,1"
MARZO,,"74,0","849,9","687,8","747,3","1.281,0","4.786,5","20.708,2","296,7","652,5","0,2","0,9"
ABRIL,,"0,1","54,4","12,5","394,5","167,3","425,9","76,1","9,8","50,9","0,0",
MAYO,,"5,0","45,0","1,2","129,0","14,9","21,7","0,0",,,,
JUNIO,,,"82,1","467,6","6,2","6,0","0,3",,,,,
