MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
JULIO,,1,,,,"12,6","0,0","0,7",,,,"0,0",,"0,7","0,0",
AGOSTO,2,,,"27,0","7,3","2,5","24,6","3,5","1,5",,,"0,8",,,"26,2",
SEPTIEMBRE,"17,7",,,,"35,2","6,8","26,3","9,9","25,4","0,8","13,8","1,6",,,"287,4",
OCTUBRE,,,,"0,5","31,4","23,2","33,9","6,8","18,3","2,8","28,3","0,9",,"1,1","41,0","1,4"
NOVIEMBRE,"0,17","0,038",,"0,0","88,9","589,0","436,4","392,0","19,9","12,5","20,5","57,2","4,9","15,2","0,0","0,2"
DICIEMBRE,,,,"1,5","8,3","299,7","951,3","184,4","193,4","42,4","374,8","302,7","2,7","22,9","0,1","5,0"
ENERO,"2,34",,,"10,4","41,8","2.933,2","446,0","1.282,1","1.104,6","805,2","1.563,7","1.308,0","8,9","18,0","1,2","48,4"
FEBRERO,,,,"0,8","12,8","276,1","775,4","1.515,1","3.126,2","1.017,4","7.552,0","19.290,3","424,1","1.178,3","15.356,8","0,4"
MARZO,"1,05",,,"0,4","40,4","75,2","57,1","1.672,4","2.434,0","1.253,0","479,9","6.112,7","100,5","29,1","0,1","0,2"
ABRIL,,,,"0,1","9,1","45,7","10,9","71,5","327,8","939,6","409,3","865,3","7,9","5,9","0,0",
MAYO,,,,"0,1",,"113,8","22,1","7,9","46,5","3,2","35,4","2,2",,,,
JUNIO,"1,5",,,"12,0",,"19,6","0,1",,,,,"0,5",,,,
