PERIODO,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
1976 - 1977,0.0,0.0,0.0,0.0,148.0,17264.0,613.0,4066.0,1263.0,0.0,2503.0,391.0,0.0,208.0,2.0,0.0,26458.0
1977 - 1978,0.0,0.0,0.0,0.0,43.0,1179.0,1664.0,2926.0,6604.0,0.0,9152.0,4740.0,0.0,1668.0,1006.0,981.0,29963.0
1978 - 1979,0.0,0.0,0.0,0.0,223.0,1763.0,2336.0,805.0,2401.0,0.0,9515.0,30365.0,0.0,24199.0,743.0,3865.0,76215.0
1979 - 1980,0.0,0.0,0.0,0.0,148.0,2237.0,1782.0,6325.0,3552.0,0.0,4560.0,2112.0,0.0,1493.0,243.0,83.0,22535.0
1980 - 1981,0.0,0.0,0.0,7.0,129.0,7345.0,2835.0,3491.0,4661.0,0.0,4373.0,1552.0,0.0,1042.0,6262.0,359.0,32056.0
1981 - 1982,0.0,0.0,0.0,1.0,453.0,6473.0,4577.0,1851.0,1918.0,0.0,4528.0,2452.0,0.0,1533.0,143.0,2913.0,26842.0
1982 - 1983,0.0,0.0,0.0,55.0,2586.0,5545.0,5012.0,1255.0,5182.0,0.0,5030.0,4385.0,0.0,15790.0,469.0,439.0,45748.0
1983 - 1984,0.0,0.0,0.0,11.0,2337.0,30738.0,6519.0,3572.0,4286.0,0.0,6724.0,4076.0,0.0,6052.0,15524.0,352.0,80191.0
1984 - 1985,0.0,0.0,0.0,39.75,2068.45,11285.0,3651.94,1101.43,5014.61,0.0,3664.83,1734.96,590.95,603.62,474.9,17341.66,47572.100000000006
1985 - 1986,0.0,0.0,0.0,37.85,661.01,12889.1,7556.07,13434.83,3026.15,0.0,15379.22,8190.21,562.05,631.07,3842.0,1203.95,67413.51
1986 - 1987,0.0,0.0,0.0,0.0,55.82,15742.86,7763.97,8063.89,3530.75,0.0,13869.85,35168.78,4886.45,6319.55,1372.1,280.5,97054.52
1987 - 1988,0.0,0.0,0.0,35.25,589.77,1984.61,2077.31,1776.74,8769.84,0.0,42405.17,6241.53,674.47,14702.04,4335.8,1307.83,84900.36000000002
1988 - 1989,0.0,0.0,0.0,5.35,4799.46,26706.51,11970.33,11732.64,15135.18,0.0,9267.07,4719.03,1640.84,366.09,1663.25,56.47,88062.22
1989 - 1990,0.0,0.0,0.0,46.95,356.68,6006.68,1102.11,3476.0,5532.23,0.0,2333.9,2153.43,413.2,997.58,2613.05,513.43,25545.240000000005
1990 - 1991,0.0,0.0,0.0,23.29,243.19,5383.31,4327.19,6357.36,7585.7,0.0,8880.19,14023.96,2799.46,343.09,201.68,105.22,50273.64
1991 - 1992,0.0,0.0,0.0,21.05,55.84,8438.9,6275.77,4063.55,1591.15,0.0,1494.8,1358.16,621.25,262.8,20.83,20.03,24224.13
1992 - 1993,0.0,0.0,0.0,7.93,414.06,8963.17,8636.44,5733.18,12554.41,0.0,9607.23,1666.01,239.0,230.48,501.83,1426.85,49980.590000000004
1993 - 1994,0.0,0.0,0.0,3.71,691.01,14515.8,8399.49,16497.04,9582.13,0.0,10260.38,1822.41,1121.42,919.58,1028.99,763.81,65605.77
1994 - 1995,0.0,0.0,0.0,8.6,973.49,4122.86,2312.88,6797.95,2431.58,0.0,5820.3,2958.44,84.6,402.77,218.98,41.37,26173.819999999996
1995 - 1996,0.0,0.0,0.0,62.42,57.42,3983.52,1099.87,4038.32,1114.38,0.0,7024.78,5053.67,1695.2,14304.83,760.3,886.86,40081.57
1996 - 1997,0.0,0.0,0.0,12.8,182.04,4713.56,1642.49,4078.73,4337.84,0.0,23392.65,4102.36,230.66,670.79,127.93,100.25,43592.100000000006
1997 - 1998,0.0,0.0,0.0,9.13,406.31,5483.01,1665.7,1051.58,1886.08,0.0,6594.56,2851.12,1843.85,38878.32,30196.98,20.88,90887.52
1998 - 1999,0.0,0.0,0.0,5.58,143.4,2322.28,834.42,29510.84,4817.36,0.0,52586.72,7267.48,1076.11,2627.18,272.23,227.15,101690.74999999999
1999 - 2000,0.0,0.0,0.0,6.66,18.58,3642.49,1199.98,4230.18,1906.6,0.0,2346.68,3086.24,61.99,87.71,436.76,158.68,17182.55
2000 - 2001,0.0,0.0,0.0,10.6,84.69,2233.04,1759.93,649.37,869.42,0.0,1759.2,3314.13,13.99,109.77,89.5,26.88,10920.52
2001 - 2002,0.0,0.0,0.0,12.74,2324.07,5207.13,1754.84,3511.22,2915.82,0.0,33220.19,33883.86,2555.12,4189.4,353.67,141.15,90069.20999999998
2002 - 2003,0.0,0.0,0.0,113.0,2259.16,9975.86,6181.58,9382.98,4222.19,0.0,4541.05,4856.23,117.13,175.97,52.3,110.26,41987.71000000001
2003 - 2004,0.0,0.0,0.0,178.53,1886.02,15437.46,4818.81,7168.36,2518.83,0.0,10688.91,6667.65,313.31,290.73,705.01,13.54,50687.16
2004 - 2005,0.0,0.0,0.0,3.7,1473.73,7535.39,4768.06,15453.44,2537.25,0.0,8859.02,7828.97,198.07,286.01,795.62,15560.97,65300.23
2005 - 2006,0.0,0.0,0.0,35.67,398.79,4034.46,2196.48,5291.85,1563.94,0.0,1977.26,1335.5,90.79,711.1,1453.63,232.74,19322.210000000003
2006 - 2007,0.0,0.0,0.0,0.0,177.52,3045.61,1113.47,6459.49,1057.18,0.0,28735.88,1449.96,61.99,723.75,522.25,37.0,43384.1
2007 - 2008,0.0,0.0,0.0,0.0,143.9,5630.25,501.34,6573.61,2727.18,0.0,9588.68,7623.43,676.59,7728.42,525.22,317.99,42036.60999999999
2008 - 2009,0.0,0.0,0.0,0.0,188.16,4458.14,4611.49,4302.21,11644.07,0.0,21023.43,11535.45,1260.57,1572.17,3542.81,84.02,64222.51999999999
2009 - 2010,0.0,0.0,0.0,0.0,451.89,13161.75,10125.76,14193.74,5747.15,0.0,14169.6,420.88,47.55,20.48,15.16,10.16,58364.12000000001
2010 - 2011,0.0,0.0,0.0,0.0,514.83,11335.72,7574.06,8264.14,14900.09,0.0,2427.94,1427.91,81.96,269.04,197.92,41.85,47035.46
2011 - 2012,0.0,0.0,0.0,30.0,1013.71,4194.16,1298.37,10334.1,7952.55,0.0,37592.81,8730.45,225.86,1018.32,280.87,17608.17,90279.37
2012 - 2013,0.0,0.0,0.0,0.0,284.29,3939.54,1285.16,2485.35,2276.25,0.0,3036.98,2378.88,120.68,645.42,365.77,291.09,17109.41
