FireID,FireSeason,RegionCode,Region_CONAF,FireName_CONAF,Area_CONAF [ha],IgnitionDate_CONAF,ControlDate_CONAF,Latitude [°],Longitude [°],FireScar,FolderLocation,FireScarImgName,PreFireImgName,PostFireImgName,RdNBRImgName,SeverityImgName,FireScarVectorName,SeverityVectorName,Threshold,NorthBoundLatitude [°],SouthBoundLatitude [°],WestBoundLongitude [°],EastBoundLongitude [°],Width [pixels],Height [pixels],TotalArea [m2],AreaUnchS [m2],AreaLowS [m2],AreaModS [m2],AreaHighS [m2],FireScarPolygons,SeverityPolygons,OverlapIDs,Observations
ID176339,2015,CL-AR,Araucania,JUAN PUINA,10.0,2015-02-09,2015-02-09,-38.4364,-72.8917,1,FireScar_CL-AR_Araucania_2015,FireScar_CL-AR_ID176339_u300_20150209.tif,ImgPreF_CL-AR_ID176339_u300_20150209.tif,ImgPosF_CL-AR_ID176339_u300_20150209.tif,RdNBR_CL-AR_ID176339_u300_20150209.tif,Severity_CL-AR_ID176339_u300_20150209.tif,FireScar_CL-AR_ID176339_u300_20150209.shp,Severity_CL-AR_ID176339_u300_20150209.shp,300.0,-38.427502403366,-38.42938886546265,-72.8907394579126,-72.88831400664547,9.0,7.0,33086.2173461914,0.0,2815.84143066406,21118.8937988281,9151.48211669922,1.0,7.0,,
ID176387,2015,CL-ML,Maule,LOS ESPINOS,11.0,2014-12-23,2014-12-23,-36.0694,-72.3344,1,FireScar_CL-ML_Maule_2015,FireScar_CL-ML_ID176387_u600_20141223.tif,ImgPreF_CL-ML_ID176387_u600_20141223.tif,ImgPosF_CL-ML_ID176387_u600_20141223.tif,RdNBR_CL-ML_ID176387_u600_20141223.tif,Severity_CL-ML_ID176387_u600_20141223.tif,FireScar_CL-ML_ID176387_u600_20141223.shp,Severity_CL-ML_ID176387_u600_20141223.shp,600.0,-36.0688857933818,-36.07211972840463,-72.3380060635938,-72.33477212857096,12.0,12.0,53721.07702636719,0.0,0.0,5807.7265625,47913.35046386719,1.0,8.0,,
ID176392,2015,CL-AR,Araucania,EL CARMEN,10.0,2015-03-18,2015-03-18,-38.4139,-72.2111,1,FireScar_CL-AR_Araucania_2015,FireScar_CL-AR_ID176392_u450_20150318.tif,ImgPreF_CL-AR_ID176392_u450_20150318.tif,ImgPosF_CL-AR_ID176392_u450_20150318.tif,RdNBR_CL-AR_ID176392_u450_20150318.tif,Severity_CL-AR_ID176392_u450_20150318.tif,FireScar_CL-AR_ID176392_u450_20150318.shp,Severity_CL-AR_ID176392_u450_20150318.shp,450.0,-38.4134886849337,-38.41833958746795,-72.21188259770351,-72.19894685761219,48.0,18.0,340776.755371094,0.0,0.0,60551.05670166019,280225.698669434,1.0,37.0,,
ID176408,2015,CL-ML,Maule,QUEBRADA EL MEMBRILLO,10.0,2014-11-27,2014-11-27,-35.6001,-72.1396,1,FireScar_CL-ML_Maule_2015,FireScar_CL-ML_ID176408_u450_20141127.tif,ImgPreF_CL-ML_ID176408_u450_20141127.tif,ImgPosF_CL-ML_ID176408_u450_20141127.tif,RdNBR_CL-ML_ID176408_u450_20141127.tif,Severity_CL-ML_ID176408_u450_20141127.tif,FireScar_CL-ML_ID176408_u450_20141127.shp,Severity_CL-ML_ID176408_u450_20141127.shp,450.0,-35.60131268799761,-35.60481611760567,-72.13777158676359,-72.13292068422935,18.0,13.0,57683.6539306641,0.0,0.0,28476.8125610352,29206.8413696289,2.0,21.0,,
ID176409,2015,CL-ML,Maule,LA VENTANA DEL ALTO,10.0,2015-02-26,2015-02-26,-34.8775,-71.0544,1,FireScar_CL-ML_Maule_2015,FireScar_CL-ML_ID176409_u450_20150226.tif,ImgPreF_CL-ML_ID176409_u450_20150226.tif,ImgPosF_CL-ML_ID176409_u450_20150226.tif,RdNBR_CL-ML_ID176409_u450_20150226.tif,Severity_CL-ML_ID176409_u450_20150226.tif,FireScar_CL-ML_ID176409_u450_20150226.shp,Severity_CL-ML_ID176409_u450_20150226.shp,450.0,-34.8736773078608,-34.88014517790646,-71.06006274040541,-71.05386436494499,23.0,24.0,118596.112243652,0.0,0.0,50826.6098632813,67769.50238037111,4.0,26.0,,
ID176411,2015,CL-BI,BioBio,SANTA INES,10.0,2015-03-29,2015-03-29,-36.9056,-71.8906,1,FireScar_CL-BI_BioBio_2015,FireScar_CL-BI_ID176411_u598_20150329.tif,ImgPreF_CL-BI_ID176411_u598_20150329.tif,ImgPosF_CL-BI_ID176411_u598_20150329.tif,RdNBR_CL-BI_ID176411_u598_20150329.tif,Severity_CL-BI_ID176411_u598_20150329.tif,FireScar_CL-BI_ID176411_u598_20150329.shp,Severity_CL-BI_ID176411_u598_20150329.shp,598.0,-36.889496805425,-36.9067444588801,-71.9008858463413,-71.86908548528345,118.0,64.0,2591611.25923665,0.0,0.0,23974.1976835363,2567637.06155312,2.0,29.0,,The ignition point is located in the current CL-NB region
ID176412,2015,CL-AR,Araucania,EL FISCAL,10.0,2015-02-21,2015-02-21,-37.9636,-72.4261,1,FireScar_CL-AR_Araucania_2015,FireScar_CL-AR_ID176412_u350_20150221.tif,ImgPreF_CL-AR_ID176412_u350_20150221.tif,ImgPosF_CL-AR_ID176412_u350_20150221.tif,RdNBR_CL-AR_ID176412_u350_20150221.tif,Severity_CL-AR_ID176412_u350_20150221.tif,FireScar_CL-AR_ID176412_u350_20150221.shp,Severity_CL-AR_ID176412_u350_20150221.shp,350.0,-37.9620852546637,-37.96558868427176,-72.434215630523,-72.42855624423305,21.0,13.0,60213.4106445313,0.0,0.0,34711.2447509766,25502.1658935547,1.0,14.0,,
ID176413,2015,CL-AR,Araucania,CRUCE NILPE,10.0,2015-03-10,2015-03-10,-38.4944,-72.7672,1,FireScar_CL-AR_Araucania_2015,FireScar_CL-AR_ID176413_u448_20150310.tif,ImgPreF_CL-AR_ID176413_u448_20150310.tif,ImgPosF_CL-AR_ID176413_u448_20150310.tif,RdNBR_CL-AR_ID176413_u448_20150310.tif,Severity_CL-AR_ID176413_u448_20150310.tif,FireScar_CL-AR_ID176413_u448_20150310.shp,Severity_CL-AR_ID176413_u448_20150310.shp,448.0,-38.4921811038226,-38.49810998469779,-72.76865841080071,-72.76272952992552,22.0,22.0,137852.511230469,0.0,0.0,54859.301574707,82993.2096557617,1.0,27.0,,
ID176414,2015,CL-BI,BioBio,BRETANA,10.0,2015-03-17,2015-03-17,-37.6778,-72.0642,1,FireScar_CL-BI_BioBio_2015,FireScar_CL-BI_ID176414_u590_20150317.tif,ImgPreF_CL-BI_ID176414_u590_20150317.tif,ImgPosF_CL-BI_ID176414_u590_20150317.tif,RdNBR_CL-BI_ID176414_u590_20150317.tif,Severity_CL-BI_ID176414_u590_20150317.tif,FireScar_CL-BI_ID176414_u590_20150317.shp,Severity_CL-BI_ID176414_u590_20150317.shp,590.0,-37.66644969466,-37.67372604846137,-72.06446905957941,-72.05611472743709,31.0,27.0,164281.573059082,0.0,0.0,13512.2455444336,150769.327514648,2.0,15.0,,
ID176415,2015,CL-AR,Araucania,EL QUILLAY - PORVENIR,10.0,2015-01-06,2015-01-06,-38.4289,-72.6822,1,FireScar_CL-AR_Araucania_2015,FireScar_CL-AR_ID176415_u300_20150106.tif,ImgPreF_CL-AR_ID176415_u300_20150106.tif,ImgPosF_CL-AR_ID176415_u300_20150106.tif,RdNBR_CL-AR_ID176415_u300_20150106.tif,Severity_CL-AR_ID176415_u300_20150106.tif,FireScar_CL-AR_ID176415_u300_20150106.shp,Severity_CL-AR_ID176415_u300_20150106.shp,300.0,-38.4264244250251,-38.43154482214459,-72.68834902440041,-72.68053368142857,29.0,19.0,28862.2484741211,0.0,4223.71313476563,22526.6465454102,2111.88879394531,3.0,11.0,,
