speciesCode,comName,sciName,locId,locName,obsDt,lat,lng,locationPrivate,exoticCategory,howMany,region
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L594542,Embalse El Yeso--Vegas superiores,2016-01-01,-33.6250545,-70.0251281,False,-1,3.0,Región Metropolitana de Santiago
musduc,Muscovy Duck,Cairina moschata,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2016-01-01,-32.6327613,-71.426518,False,1,4.0,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2016-01-01,-32.6327613,-71.426518,False,1,15.0,Valparaíso
cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L3822091,Florida,2016-01-01,-36.799483,-72.7992404,True,-1,2.0,Bío-Bío
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L2867775,La Paloma,2016-01-02,-34.5576149,-70.952239,False,-1,1.0,Libertador General Bernardo O'Higgins
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L3154749,PN La Campana,2016-01-02,-32.9843608,-71.111927,False,-1,0.0,Valparaíso
siltea1,Silver Teal,Spatula versicolor,L1033151,Laguna Los Palos,2016-01-02,-52.7358759,-71.0616302,False,-1,15.0,Magallanes
blkrai,Black Rail,Laterallus jamaicensis,L613221,Lampa--Santa Inés,2016-01-02,-33.2627333,-70.8044386,False,-1,2.0,Región Metropolitana de Santiago
libher,Little Blue Heron,Egretta caerulea,L3309920,Río Elqui (Espejo de Agua),2016-01-02,-29.8941968,-71.2670445,True,-1,2.0,Coquimbo
wtstyr1,White-tailed Shrike-Tyrant,Agriornis albicauda,L570508,Putre,2016-01-02,-18.1964537,-69.5565677,False,-1,1.0,Arica y Parinacota
comgal1,Common Gallinule,Gallinula galeata,L504549,Punta Teatinos--Laguna Saladita,2016-01-02,-29.8220854,-71.2886524,False,-1,2.0,Coquimbo
robpoc1,Rosy-billed Pochard,Netta peposaca,L2625384,Punta Teatinos--Humedal,2016-01-03,-29.8299224,-71.2782669,False,-1,1.0,Coquimbo
comgal1,Common Gallinule,Gallinula galeata,L2625384,Punta Teatinos--Humedal,2016-01-03,-29.8299224,-71.2782669,False,-1,2.0,Coquimbo
snoplo5,Snowy Plover,Charadrius nivosus,L4128443,Serena Golf costa,2016-01-03,-29.8323795,-71.2826282,True,-1,5.0,Coquimbo
whcpin,White-cheeked Pintail,Anas bahamensis,L668852,Río Lluta--Desembocadura,2016-01-03,-18.4165392,-70.3224081,False,-1,7.0,Arica y Parinacota
semplo,Semipalmated Plover,Charadrius semipalmatus,L668852,Río Lluta--Desembocadura,2016-01-03,-18.4165392,-70.3224081,False,-1,47.0,Arica y Parinacota
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L1030674,Camino Valle Nevado,2016-01-03,-33.3700689,-70.2803028,False,-1,10.0,Región Metropolitana de Santiago
cawfin1,White-bridled Finch,Melanodera melanodera,L1030752,Pampa Larga,2016-01-03,-52.2679473,-69.7321129,False,-1,4.0,Magallanes
margod,Marbled Godwit,Limosa fedoa,L673642,Río Elqui--Desembocadura,2016-01-03,-29.8933968,-71.2727094,False,-1,1.0,Coquimbo
truter,Snowy-crowned Tern,Sterna trudeaui,L798863,RN Laguna Torca,2016-01-03,-34.7716527,-72.0419025,False,-1,30.0,Maule
patmoc1,Patagonian Mockingbird,Mimus patagonicus,L4100708,Fox Den,2016-01-03,-52.58857,-70.300389,True,-1,2.0,Magallanes
fuesni1,Fuegian Snipe,Gallinago stricklandii,L814311,Isla Hornos--Faro,2016-01-03,-55.9749509,-67.2789001,False,-1,2.0,Magallanes
strcar1,Striated Caracara,Daptrius australis,L814311,Isla Hornos--Faro,2016-01-03,-55.9749509,-67.2789001,False,-1,1.0,Magallanes
robpoc1,Rosy-billed Pochard,Netta peposaca,L1847800,Punta Teatinos,2016-01-04,-29.8212611,-71.2963338,True,-1,1.0,Coquimbo
comgal1,Common Gallinule,Gallinula galeata,L1847800,Punta Teatinos,2016-01-04,-29.8212611,-71.2963338,True,-1,1.0,Coquimbo
eleter1,Elegant Tern,Thalasseus elegans,L5223836,CL-Región de Arica y Parinacota-Arica-764 Avenida Comandante San Martín - -18.492x-70.328,2016-01-04,-18.4919577,-70.3282999,True,-1,3000.0,Arica y Parinacota
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L1090512,"Quebrada San Gerónimo, Algarrobo",2016-01-04,-33.3483471,-71.6321039,False,-1,5.0,Valparaíso
hoogre1,Hooded Grebe,Podiceps gallardoi,L4176409,laguna,2016-01-04,-52.6391052,-70.9776449,True,-1,1.0,Magallanes
semsan,Semipalmated Sandpiper,Calidris pusilla,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-04,-33.6198013,-71.6275442,False,-1,1.0,Valparaíso
mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,L904625,Río Loa--Desembocadura,2016-01-04,-21.4292013,-70.0585485,False,-1,1.0,Tarapacá
royalb1,Royal Albatross,Diomedea epomophora,L3225756,Drake Passage_1,,-56.3043486,-65.0500488,True,-1,1.0,Magallanes
wanalb,Wandering Albatross,Diomedea exulans,L3225756,Drake Passage_1,,-56.3043486,-65.0500488,True,-1,2.0,Magallanes
blupet1,Blue Petrel,Halobaena caerulea,L3225756,Drake Passage_1,,-56.3043486,-65.0500488,True,-1,2.0,Magallanes
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L752313,Humedal de Mantagua,2016-01-05,-32.8853535,-71.5031433,True,-1,4.0,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2016-01-05,-32.6327613,-71.426518,False,1,0.0,Valparaíso
uplgoo1,Upland Goose,Chloephaga picta,L594542,Embalse El Yeso--Vegas superiores,2016-01-05,-33.6250545,-70.0251281,False,-1,13.0,Región Metropolitana de Santiago
punsni1,Puna Snipe,Gallinago andina,L693463,Machuca,2016-01-05,-22.5996494,-68.0657423,False,-1,1.0,Antofagasta
blkrai,Black Rail,Laterallus jamaicensis,L613221,Lampa--Santa Inés,2016-01-05,-33.2627333,-70.8044386,False,-1,1.0,Región Metropolitana de Santiago
cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L1186273,RN Altos de Lircay,2016-01-05,-35.6035094,-70.9881592,False,-1,12.0,Maule
mallar3,Mallard,Anas platyrhynchos,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2016-01-06,-32.6327613,-71.426518,False,1,0.0,Valparaíso
osprey,Osprey,Pandion haliaetus,L3340409,SN Carlos Andwandter,2016-01-06,-39.7042812,-73.1981277,False,-1,2.0,Los Ríos
moupar2,Mountain Parakeet,Psilopsiagon aurifrons,L4321049,Cerro Pabellón,2016-01-06,-21.9190005,-68.2508039,True,-1,15.0,Antofagasta
easkin,Eastern Kingbird,Tyrannus tyrannus,L3180870,Baquedano,2016-01-06,-23.3341885,-69.8401308,False,-1,2.0,Antofagasta
bkbalb,Black-browed Albatross,Thalassarche melanophris,L571146,Ferry Punta Arenas-Porvenir (Pelágico),2016-01-07,-53.233989,-70.6777954,False,-1,250.0,Magallanes
whcpet1,White-chinned Petrel,Procellaria aequinoctialis,L571146,Ferry Punta Arenas-Porvenir (Pelágico),2016-01-07,-53.233989,-70.6777954,False,-1,30.0,Magallanes
whcpin,White-cheeked Pintail,Anas bahamensis,L516540,Río Huasco--Desembocadura,2016-01-07,-28.4481664,-71.2002039,False,-1,2.0,Atacama
soasni3,Magellanic Snipe,Gallinago magellanica,L516540,Río Huasco--Desembocadura,2016-01-07,-28.4481664,-71.2002039,False,-1,1.0,Atacama
whfibi,White-faced Ibis,Plegadis chihi,L516540,Río Huasco--Desembocadura,2016-01-07,-28.4481664,-71.2002039,False,-1,1.0,Atacama
leasan,Least Sandpiper,Calidris minutilla,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-07,-33.6198013,-71.6275442,False,-1,2.0,Valparaíso
pecsan,Pectoral Sandpiper,Calidris melanotos,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-07,-33.6198013,-71.6275442,False,-1,1.0,Valparaíso
semsan,Semipalmated Sandpiper,Calidris pusilla,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-07,-33.6198013,-71.6275442,False,-1,33.0,Valparaíso
santer1,Sandwich Tern,Thalasseus sandvicensis,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-07,-33.6198013,-71.6275442,False,-1,3.0,Valparaíso
pedpet1,Peruvian Diving-Petrel,Pelecanoides garnotii,L4139919,Duao--Pelágico,2016-01-07,-34.8907771,-72.200346,False,-1,40.0,Maule
ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L2834895,Río Mapocho--Puente San Francisco,2016-01-07,-33.6862106,-70.9825802,False,-1,1.0,Región Metropolitana de Santiago
bkbplo,Black-bellied Plover,Pluvialis squatarola,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-08,-33.6198013,-71.6275442,False,-1,30.0,Valparaíso
ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L504553,SN Humedal Río Maipo--Desembocadura,2016-01-08,-33.6198013,-71.6275442,False,-1,4.0,Valparaíso
lotjae,Long-tailed Jaeger,Stercorarius longicaudus,L862580,Isla Santa María,2016-01-08,-37.0348991,-73.5074615,False,-1,1.0,Bío-Bío
