speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
whttap1,White-throated Tapaculo,Scelorchilus albicollis,L672968,Estero Puangue (Cerro Viejo),2018-01-01 19:57,6.0,-33.2168522,-71.1630392,False,-1,Valparaíso
bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,L6663924,"Panguipulli, Región de los Ríos, CL (-39,516, -71,751)",2018-01-01 19:09,1.0,-39.5159681,-71.7512844,True,-1,Los Ríos
margod,Marbled Godwit,Limosa fedoa,L2869629,Estero Tongoy,2018-01-01 18:46,1.0,-30.2601051,-71.4792395,True,-1,Coquimbo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L1557345,Caleu - Lo Marín,2018-01-01 18:40,3.0,-32.9888318,-70.9765152,True,-1,Región Metropolitana de Santiago
semsan,Semipalmated Sandpiper,Calidris pusilla,L6649619,"1532 Avenida Grecia, Antofagasta, Región de Antofagasta, CL (-23.661, -70.403)",2018-01-01 18:24,2.0,-23.6609291,-70.4033861,True,-1,Antofagasta
yebpin1,Yellow-billed Pintail,Anas georgica,L4606851,Campo Caipulli,2018-01-01 16:40,10.0,-40.6481502,-72.754705,True,-1,Los Lagos
gyfcin1,Gray-flanked Cinclodes,Cinclodes oustaleti,L6663905,"Laguna Azul (-39,543, -71,748)",2018-01-01 16:24,1.0,-39.5434333,-71.7481048,True,-1,Los Ríos
brnboo,Brown Booby,Sula leucogaster,L7142196,"CL-Valparaíso-Hanga Roa-Islas del Océano - -27,1425x-109,4268",2018-01-02 19:30,1.0,-27.142453,-109.426754,True,-1,Valparaíso
wepdov1,West Peruvian Dove,Zenaida meloda,L6656030,"(-33,901, -70,654)",2018-01-02 16:55,3.0,-33.9011591,-70.6542802,True,-1,Región Metropolitana de Santiago
ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,L6687700,Oazy Harbour-acceso San Jorge,2018-01-02 15:01,40.0,-52.583194,-70.356604,True,-1,Magallanes
thbsis1,Thick-billed Siskin,Spinus crassirostris,L594542,Embalse El Yeso--Vegas superiores,2018-01-02 14:30,2.0,-33.6250545,-70.0251281,False,-1,Región Metropolitana de Santiago
juffir1,Juan Fernandez Firecrown,Sephanoides fernandensis,L5240320,PN Archipiélago Juan Fernández--Plazoleta el Yunque,2018-01-02 14:00,3.0,-33.6495471,-78.8425148,False,-1,Valparaíso
blupet1,Blue Petrel,Halobaena caerulea,L6699177,"(-56.8991,-66.5897)",2018-01-02 11:30,6.0,-56.899055,-66.589681,True,-1,Magallanes
gybsht1,Gray-bellied Shrike-Tyrant,Agriornis micropterus,L3568114,PN Torres del Paine--Trek de Los Cuernos a Chileno/Las Torres,2018-01-02 10:10,2.0,-51.0013062,-72.9237914,False,-1,Magallanes
snoshe2,Snowy Sheathbill,Chionis albus,L3239168,MN Los Pingüinos--Isla Marta,2018-01-02 10:00,2.0,-52.8471046,-70.5799913,False,-1,Magallanes
wanalb,Wandering Albatross,Diomedea exulans,L6699178,"(-57.2887,-66.3484)",2018-01-02 07:15,2.0,-57.288665,-66.348421,True,-1,Magallanes
royalb1,Royal Albatross,Diomedea epomophora,L571146,Ferry Punta Arenas-Porvenir (Pelágico),2018-01-03 20:24,1.0,-53.233989,-70.6777954,False,-1,Magallanes
rucdot1,Rufous-chested Dotterel,Charadrius modestus,L791057,Estero El Culebrón--Desembocadura,2018-01-03 19:20,1.0,-29.9617015,-71.3218206,False,-1,Coquimbo
sctear1,Scale-throated Earthcreeper,Upucerthia dumetaria,L1153126,Valle de Azapa--Tranque Sobraya,2018-01-03 17:47,1.0,-18.5752738,-70.0235939,False,-1,Arica y Parinacota
rudtur,Ruddy Turnstone,Arenaria interpres,L673642,Río Elqui--Desembocadura,2018-01-03 12:45,85.0,-29.8933968,-71.2727094,False,-1,Coquimbo
soasni3,Magellanic Snipe,Gallinago magellanica,L4153100,"Lagunillas, caminata a MO Las Tetonas",2018-01-03 11:00,1.0,-33.6079798,-70.2478909,True,-1,Región Metropolitana de Santiago
yelpip3,Peruvian Pipit,Anthus peruvianus,L5959426,humedal del río lluta,2018-01-03 09:00,1.0,-18.3880855,-70.3526688,True,-1,Arica y Parinacota
osprey,Osprey,Pandion haliaetus,L11222680,Guala,2018-01-03 08:20,1.0,-22.8392867,-70.2978889,True,-1,Antofagasta
rulowl1,Rufous-legged Owl,Strix rufipes,L4461369,Lomas de El Manzano,2018-01-03 04:00,1.0,-33.5798597,-70.3935436,False,-1,Región Metropolitana de Santiago
redjun,Red Junglefowl,Gallus gallus,L6295308,Costanera de Castro,2018-01-04 19:19,7.0,-42.4781748,-73.7557442,True,1,Los Lagos
buwtea,Blue-winged Teal,Spatula discors,L668852,Río Lluta--Desembocadura,2018-01-04 19:15,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
kerpet,Kermadec Petrel,Pterodroma neglecta,L5240271,Navegación Bahía del Padre hacia Bahía Cumberland,2018-01-04 18:00,2.0,-33.6093298,-78.9019632,False,-1,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L4968603,Laguna de Zapallar ,2018-01-05 20:43,15.0,-32.632934,-71.425738,True,1,Valparaíso
pafear1,Patagonian Forest Earthcreeper,Upucerthia saturatior,L4785622,Camino Liucura - Icalma,2018-01-05 19:00,4.0,-38.7214624,-71.1130896,True,-1,Araucanía
moucar1,Mountain Caracara,Daptrius megalopterus,L5094181,Paso Pino Hachado,2018-01-05 18:17,2.0,-38.6441598,-70.9391928,False,-1,Araucanía
margod,Marbled Godwit,Limosa fedoa,L636004,Estero Tongoy--Desembocadura,2018-01-05 16:30,1.0,-30.25497,-71.49359,False,-1,Coquimbo
rngtyr1,Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,L1087750,Calderilla,2018-01-05 14:00,1.0,-27.0909184,-70.85289,False,-1,Atacama
gybsht1,Gray-bellied Shrike-Tyrant,Agriornis micropterus,L6670763,"(-50.9673,-72.7878)",2018-01-05 09:46,1.0,-50.967303,-72.787781,True,-1,Magallanes
macpen1,Macaroni Penguin,Eudyptes chrysolophus,L6687937,Barnevelt,2018-01-05 08:00,1.0,-55.8130021,-66.7990637,True,-1,Magallanes
rocpen1,Southern Rockhopper Penguin,Eudyptes chrysocome,L6687937,Barnevelt,2018-01-05 08:00,600.0,-55.8130021,-66.7990637,True,-1,Magallanes
strcar1,Striated Caracara,Daptrius australis,L6687937,Barnevelt,2018-01-05 08:00,1.0,-55.8130021,-66.7990637,True,-1,Magallanes
blacin1,Blackish Cinclodes,Cinclodes antarcticus,L6687937,Barnevelt,2018-01-05 08:00,2.0,-55.8130021,-66.7990637,True,-1,Magallanes
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L6679936,"Algarrobo, Región de Valparaíso, CL (-33,278, -71,555)",2018-01-06 21:06,2.0,-33.2776369,-71.5545595,True,-1,Valparaíso
speduc2,Spectacled Duck,Speculanas specularis,L6682343,Río Lonquimay -- desde puente la puntilla al pueblo,2018-01-06 18:00,12.0,-38.5138002,-71.4037855,True,-1,Araucanía
comter,Common Tern,Sterna hirundo,L861844,Humedal Urbano Cartagena,2018-01-06 16:00,12.0,-33.5350454,-71.6022348,False,-1,Valparaíso
santer1,Sandwich Tern,Thalasseus sandvicensis,L861844,Humedal Urbano Cartagena,2018-01-06 16:00,2.0,-33.5350454,-71.6022348,False,-1,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L815484,Sausalito,2018-01-06 15:00,3.0,-33.0131979,-71.5365314,False,1,Valparaíso
bhsfin1,Black-hooded Sierra Finch,Phrygilus atriceps,L6692065,Quebrada El Calvario--Vega La Piedra,2018-01-06 14:28,7.0,-29.4021263,-70.4748943,False,-1,Coquimbo
twbplo1,Two-banded Plover,Charadrius falklandicus,L2347815,SN Bahía Lomas--Acceso este,2018-01-06 11:55,300.0,-52.6992739,-69.0952492,False,-1,Magallanes
redkno,Red Knot,Calidris canutus,L2347815,SN Bahía Lomas--Acceso este,2018-01-06 11:55,2000.0,-52.6992739,-69.0952492,False,-1,Magallanes
corpip1,Correndera Pipit,Anthus correndera,L606243,Humedal Tres Puentes,2018-01-06 10:50,12.0,-53.1162328,-70.8813,False,-1,Magallanes
sander,Sanderling,Calidris alba,L6676269,"34 Calle del Mar, Rocas de Santo Domingo, Región de Valparaíso, CL (-33,626, -71,632)",2018-01-06 10:30,451.0,-33.626396,-71.6324754,True,-1,Valparaíso
leasan,Least Sandpiper,Calidris minutilla,L6676269,"34 Calle del Mar, Rocas de Santo Domingo, Región de Valparaíso, CL (-33,626, -71,632)",2018-01-06 10:30,2.0,-33.626396,-71.6324754,True,-1,Valparaíso
semsan,Semipalmated Sandpiper,Calidris pusilla,L6676269,"34 Calle del Mar, Rocas de Santo Domingo, Región de Valparaíso, CL (-33,626, -71,632)",2018-01-06 10:30,20.0,-33.626396,-71.6324754,True,-1,Valparaíso
ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L6676269,"34 Calle del Mar, Rocas de Santo Domingo, Región de Valparaíso, CL (-33,626, -71,632)",2018-01-06 10:30,1.0,-33.626396,-71.6324754,True,-1,Valparaíso
rocpen1,Southern Rockhopper Penguin,Eudyptes chrysocome,L6681309,"(-56.9149,-66.8591)",2018-01-06 08:45,2.0,-56.914947,-66.859082,True,-1,Magallanes
royalb1,Royal Albatross,Diomedea epomophora,L6681309,"(-56.9149,-66.8591)",2018-01-06 08:45,2.0,-56.914947,-66.859082,True,-1,Magallanes
wanalb,Wandering Albatross,Diomedea exulans,L6681309,"(-56.9149,-66.8591)",2018-01-06 08:45,1.0,-56.914947,-66.859082,True,-1,Magallanes
wbspet1,White-bellied Storm-Petrel,Fregetta grallaria,L5240429,Isla Robinson Crusoe--Pelágico,2018-01-06 07:25,10.0,-33.6051837,-78.7659216,False,-1,Valparaíso
kerpet,Kermadec Petrel,Pterodroma neglecta,L5240429,Isla Robinson Crusoe--Pelágico,2018-01-06 07:25,2.0,-33.6051837,-78.7659216,False,-1,Valparaíso
jufpet,Juan Fernandez Petrel,Pterodroma externa,L5240429,Isla Robinson Crusoe--Pelágico,2018-01-06 07:25,700.0,-33.6051837,-78.7659216,False,-1,Valparaíso
stepet,Stejneger's Petrel,Pterodroma longirostris,L5240429,Isla Robinson Crusoe--Pelágico,2018-01-06 07:25,1.0,-33.6051837,-78.7659216,False,-1,Valparaíso
bbspet1,Black-bellied Storm-Petrel,Fregetta tropica,L6681302,"(-57.3312,-66.6664)",2018-01-06 06:44,1.0,-57.331174,-66.666434,True,-1,Magallanes
blupet1,Blue Petrel,Halobaena caerulea,L6681302,"(-57.3312,-66.6664)",2018-01-06 06:44,55.0,-57.331174,-66.666434,True,-1,Magallanes
musduc,Muscovy Duck,Cairina moschata,L551449,Viña del Mar,2018-01-06,1.0,-33.0146853,-71.5532684,False,1,Valparaíso
wepdov1,West Peruvian Dove,Zenaida meloda,L5426557,Santa Teresita de Los Andes,2018-01-07 16:00,3.0,-33.0305179,-70.696249,True,-1,Región Metropolitana de Santiago
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L1997312,Agua Buena,2018-01-07 15:00,4.0,-34.6528562,-70.850063,True,-1,Libertador General Bernardo O'Higgins
kinpen1,King Penguin,Aptenodytes patagonicus,L1032990,Parque Pingüino Rey (Desembocadura Río Marazzi),2018-01-07 14:30,84.0,-53.4619671,-69.3105555,False,-1,Magallanes
pattin1,Patagonian Tinamou,Tinamotis ingoufi,L1297471,Laguna salobre S/N,2018-01-07 12:09,3.0,-52.4796961,-69.8345947,True,-1,Magallanes
