REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,EUCALIPTO,OTRAS SP.,ARBOLADO,MATORRAL,PASTIZAL,AGRICOLA,DESECHOS,TOTAL SUPERFICIE AFECTADA
XV,ARICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,CAMARONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,PUTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,GENERALLAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,IQUIQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,ALTOHOSPICIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,COLCHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,HUARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,PICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,ANTOFAGASTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MEJILLONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SIERRAGORDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TALTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,CALAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,OLLAGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SANPEDRODEATACAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TOCOPILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MARIAELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,COPIAPÓ,1.0,0.0,0.0,0.0,0.0,0.53,0.67,0.0,0.43,0.0,0.0,1.63
III,CALDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,TIERRAAMARILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,CHAÑARAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,DIEGODEALMAGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,VALLENAR,18.0,0.0,0.0,0.0,12.97,1.68,0.37,64.7,2.41,0.0,0.0,82.13
III,ALTODELCARMEN,1.0,0.0,0.0,0.0,0.8,1.6,6.8,8.3,0.0,0.0,0.0,17.50
III,FREIRINA,7.0,0.0,0.0,0.0,0.1,0.11,0.23,1.01,0.89,0.0,0.0,2.34
III,HUASCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,ANDACOLLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,COQUIMBO,21.0,0.0,0.0,0.0,7.41,0.01,0.11,2.27,3.1,0.0,0.01,12.90
IV,LAHIGUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,LASERENA,39.0,0.0,0.0,0.0,11.96,0.0,0.66,7.01,5.15,0.0,0.39,25.17
IV,PAIHUANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,VICUNA,1.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,1.05
IV,COMBARBALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,MONTEPATRIA,1.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,2.0,0.0,0.0,7.50
IV,OVALLE,29.0,0.0,0.0,0.0,30.25,0.3,30.85,30.93,20.93,0.0,1.0,114.26
IV,PUNITAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,RIOHURTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,CANELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,ILLAPEL,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.5,0.0,0.0,6.50
IV,LOSVILOS,3.0,0.0,0.0,0.0,0.0,0.0,0.3,14.7,6.0,0.0,0.0,21.00
IV,MINCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,SALAMANCA,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.60
V,CABILDO,5.0,0.0,0.0,0.0,0.0,0.0,5.18,14.45,6.77,0.0,0.0,26.40
V,LALIGUA,10.0,0.0,0.0,0.0,0.4,7.9,205.0,291.81,78.43,0.0,0.0,583.54
V,PAPUDO,8.0,0.0,0.0,0.0,0.03,0.0,6.7,2.06,7.36,0.0,0.3,16.45
V,PETORCA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.00
V,ZAPALLAR,7.0,0.0,0.0,0.07,18.3,0.0,58.62,43.75,16.38,0.0,0.55,137.67
V,CALLELARGA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.00
V,LOSANDES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,1.10
V,RINCONADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,SANESTEBAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,CATEMU,7.0,0.0,0.0,0.0,0.3,0.0,0.6,2.45,1.92,0.0,0.0,5.27
V,LLAILLAY,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,4.1,0.1,0.0,13.28
V,PANQUEHUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,PUTAENDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,SANFELIPE,3.0,0.0,0.0,0.0,0.0,0.0,272.33,462.74,27.62,0.0,0.0,762.69
V,SANTAMARIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,HIJUELAS,6.0,0.0,0.0,0.0,0.14,0.0,1.42,1.68,2.32,0.0,0.0,5.56
V,CALERA,12.0,0.0,0.0,0.0,1.0,0.0,0.0,3.06,6.03,0.0,0.6,10.69
V,LACRUZ,9.0,0.0,0.0,0.0,0.21,0.18,0.0,3.06,8.3,0.0,0.08,11.83
V,LIMACHE,40.0,0.0,0.0,0.0,6.23,0.0,26.58,111.28,146.37,0.0,1.56,292.02
V,NOGALES,3.0,0.0,0.0,0.0,0.0,0.0,0.4,5.37,8.46,0.0,0.0,14.23
V,OLMUE,10.0,0.0,0.0,0.0,1.5,0.0,0.0,2.75,0.84,0.0,0.0,5.09
V,QUILLOTA,34.0,0.0,0.0,0.0,0.0,0.0,0.1,9.17,25.34,0.0,0.19,34.80
V,CASABLANCA,19.0,0.56,0.0,0.0,1.88,5.0,30.0,77.35,49.28,0.37,0.0,164.44
V,CONCON,13.0,0.39,0.0,0.0,2.01,0.0,0.0,3.7,5.31,0.0,0.0,11.41
