PERIODO,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
1976 - 1977,0,0,0,0,31,321,156,255,335,0,696,96,0,16,3,0,1909
1977 - 1978,0,0,0,0,16,479,293,240,405,0,1471,247,0,133,77,19,3380
1978 - 1979,0,0,0,0,10,670,267,281,627,0,1504,313,0,879,134,33,4718
1979 - 1980,0,0,0,0,41,907,212,212,271,0,668,178,0,405,73,10,2977
1980 - 1981,0,0,0,17,32,1163,474,270,247,0,970,459,0,484,70,11,4197
1981 - 1982,0,0,0,4,33,954,438,393,349,0,1277,548,0,410,86,28,4520
1982 - 1983,0,0,0,34,22,886,702,313,363,0,1153,532,0,665,88,24,4782
1983 - 1984,0,0,0,8,57,934,680,293,371,0,1785,1519,0,508,82,15,6252
1984 - 1985,0,0,0,13,69,1501,664,275,286,0,1314,502,176,249,141,33,5223
1985 - 1986,0,0,0,9,112,1105,656,246,415,0,1655,638,200,271,84,30,5421
1986 - 1987,0,0,0,0,52,1033,477,239,257,0,1623,557,243,547,149,18,5195
1987 - 1988,0,0,0,3,48,1180,479,202,405,0,1718,520,136,274,174,63,5202
1988 - 1989,0,0,0,15,62,1028,300,263,490,0,2056,700,142,110,54,21,5241
1989 - 1990,0,0,0,27,51,824,372,197,318,0,1532,384,101,219,66,23,4114
1990 - 1991,0,0,0,12,60,870,263,183,402,0,2521,661,69,111,29,13,5194
1991 - 1992,0,0,0,42,37,1307,494,208,217,0,1809,455,45,144,15,15,4788
1992 - 1993,0,0,0,26,44,1271,439,250,280,0,2934,721,28,103,4,18,6118
1993 - 1994,0,0,0,21,32,841,512,313,344,0,2738,887,102,370,24,30,6214
1994 - 1995,0,0,0,18,25,828,433,298,322,0,2382,809,29,176,16,20,5356
1995 - 1996,0,0,0,31,23,727,278,301,384,0,2271,956,99,741,58,17,5886
1996 - 1997,0,0,0,28,124,629,381,294,514,0,2358,839,61,220,20,25,5493
1997 - 1998,0,0,0,16,52,832,518,186,374,0,1867,812,154,452,50,19,5332
1998 - 1999,0,0,0,21,29,704,347,307,556,0,2711,1607,175,309,45,20,6831
1999 - 2000,0,0,0,21,26,867,470,316,429,0,1802,1114,43,82,54,28,5252
2000 - 2001,0,0,0,5,32,1036,543,267,329,0,1839,1194,20,92,7,12,5376
2001 - 2002,0,0,0,12,18,1318,447,245,281,0,2183,1320,207,560,48,62,6701
2002 - 2003,0,0,0,39,73,1086,573,238,513,0,3185,1541,80,203,15,26,7572
2003 - 2004,0,0,0,24,80,875,743,292,465,0,2277,1277,111,235,37,14,6430
2004 - 2005,0,0,0,31,42,956,496,279,403,0,2745,1391,109,140,32,29,6653
2005 - 2006,0,0,0,45,39,866,629,176,404,0,2108,840,71,164,31,23,5396
2006 - 2007,0,0,0,0,25,874,534,235,295,0,1943,974,70,158,20,15,5143
2007 - 2008,0,0,0,0,43,850,269,218,322,0,3193,1412,120,470,57,21,6975
2008 - 2009,0,0,0,0,31,642,429,215,265,0,2911,1075,198,339,27,25,6157
2009 - 2010,0,0,0,0,19,713,447,225,322,0,1837,419,40,24,6,17,4069
2010 - 2011,0,0,0,0,48,824,590,221,479,0,2005,580,69,97,17,22,4952
2011 - 2012,0,0,0,1,75,901,299,169,504,0,2517,740,89,163,38,13,5509
2012 - 2013,0,0,0,0,71,952,305,203,585,0,2409,851,77,169,18,11,5651
2013 - 2014,0,0,0,0,75,843,341,195,684,0,2858,968,117,222,27,5,6335
2014 - 2015,0,0,0,0,53,865,442,235,688,0,3644,1496,149,433,24,19,8048
2015 - 2016,0,0,0,27,96,760,274,205,796,0,2691,1344,183,333,50,25,6784
2016 - 2017,1,0,0,14,101,961,388,255,631,0,1951,753,78,92,21,28,5274
2017 - 2018,6,1,0,20,110,986,501,296,802,0,2116,969,84,157,21,12,6081
2018 - 2019,11,2,0,29,86,905,532,344,951,547,2134,1352,123,143,40,20,7219
2019 - 2020,8,7,11,32,85,629,416,402,1161,482,2790,1802,121,155,19,7,8127
2020 - 2021,10,6,5,12,58,418,352,223,725,481,2894,1367,144,338,48,20,7101
2021 - 2022,6,3,3,14,59,444,295,307,898,530,2472,1457,112,297,35,15,6947
