locName,region
phm,Coquimbo
Desembocadura del estero culebron,Coquimbo
"Quebrada La Chimba, Antofgasta",Antofagasta
"Camino a Lagunillas, Km 11",Región Metropolitana de Santiago
Tapera,Aisén del General Carlos Ibáñez del Campo
Pucón--La Poza,Araucanía
"Sendero Laguna Verde (east side), Torres del Paine NP",Magallanes
Arica,Arica y Parinacota
SN Península de Hualpén--Humedal Lenga,Bío-Bío
"Sendero Laguna Verde, small lake",Magallanes
Tulahuén,Coquimbo
Valle de Jere,Antofagasta
RN Los Flamencos--Bosque de Tambillo,Antofagasta
Olmué,Valparaíso
Coquimbo--Puerto,Coquimbo
"Canal Errazuriz, N of junction with Canal Corcovado",Aisén del General Carlos Ibáñez del Campo
Parque Mahuida,Región Metropolitana de Santiago
SN Quebrada de Córdova,Valparaíso
"Humedal Los Batros, San Pedro de la Paz.",Bío-Bío
MONUMENTO NATURAL LAHUEN ÑADI,Los Lagos
-34.4125 X -70.2250,Libertador General Bernardo O'Higgins
Canal Morelada - Est. Atracadero to Isla Meninea,Aisén del General Carlos Ibáñez del Campo
"Sector Reloca, Ninhue",Ñuble
Estero Atracadero,Aisén del General Carlos Ibáñez del Campo
Isla Robinson Crusoe,Valparaíso
Río Aconcagua--Desembocadura Humedal Urbano,Valparaíso
RN Altos de Lircay,Maule
Quintay,Valparaíso
Los Pinares de Algarrobo,Valparaíso
"Caleta Buena, Tocopilla",Antofagasta
"-39.2016x-72.5850 - Jan 2, 2015, 5:36 PM",Araucanía
Ninhue,Ñuble
Caleta Mariuccia,Aisén del General Carlos Ibáñez del Campo
Talcahuano--caleta Tumbes,Bío-Bío
"Caleta Millabu, Estero Clemente",Aisén del General Carlos Ibáñez del Campo
Valle del Río Lluta--Curso inferior,Arica y Parinacota
"-37.5319x-72.3261 - Jan 2, 2015, 2:23 PM",Bío-Bío
"CL (-43.565, -74.83)",Los Lagos
"Isla Navarino, Dientes de Navarino, days I-V",Magallanes
Cementerio Papudo Zapallar,Valparaíso
Río Elqui--Desembocadura,Coquimbo
-34.3970 X -70.2675,Libertador General Bernardo O'Higgins
-34.4035 X -70.2540,Libertador General Bernardo O'Higgins
-34.4054 X -70.2456,Libertador General Bernardo O'Higgins
Punta Puyay,Valparaíso
Estero El Manzano,Región Metropolitana de Santiago
"Torres del Paine, Hosteria Mirador del Paine, Magellanes Chile",Magallanes
SN Humedal Los Batros y Laguna Grande--Laguna Grande San Pedro,Bío-Bío
Villa Luisa,Magallanes
RN Pingüino de Humboldt--Isla Chañaral,Atacama
Playa La Lisera,Arica y Parinacota
Laguna Ninhue,Ñuble
Los Molles,Valparaíso
Punta Teatinos--Laguna Saladita,Coquimbo
Carretera,Coquimbo
CL-Los Lagos-waterfront in front of Hostal Mundo Nuevo,Los Lagos
RN Las Chinchillas,Coquimbo
Parque República del Ecuador,Región Metropolitana de Santiago
Casa02,Bío-Bío
"Papudo, estero",Valparaíso
SN Laguna Conchalí,Coquimbo
Rotonda Saucache,Arica y Parinacota
Playa norte - Algarrobo,Valparaíso
"Y-290, south of Centro Administracion, Torres del Paine NP",Magallanes
NW of Peninsula Tres Montes,Aisén del General Carlos Ibáñez del Campo
Estero Mantagua,Valparaíso
Laguna La Señoraza,Bío-Bío
Chacao,Los Lagos
Río Andalien--Desembocadura,Bío-Bío
Alonso de Ercilla,Ñuble
Transbordador Pargua-Chacao,Los Lagos
Farellones--Acantilados,Región Metropolitana de Santiago
Embalse La Laguna,Coquimbo
"Los Llanos, El Convento, Santo Domingo",Valparaíso
PN Torres del Paine--Laguna Honda,Magallanes
Hijuela Bryn Coed,Araucanía
Off Cabo Taitao,Aisén del General Carlos Ibáñez del Campo
"Sendero Laguna Verde (mid section), Torres del Paine",Magallanes
Humedal Los Batros,Bío-Bío
-34.3083 X -70.4479,Libertador General Bernardo O'Higgins
Constitución--Piedra de la Iglesia,Maule
CL-Los Lagos-Puerto Montt airport parking lot,Los Lagos
Cascada de los Vientos,Región Metropolitana de Santiago
Río de los Alamos,Coquimbo
SN Yerba Loca--entre 2300 y 2750 msnm,Región Metropolitana de Santiago
Linares,Maule
Estero Tongoy--Desembocadura,Coquimbo
Humedal Pudeto--norte,Los Lagos
Plaza Villa Conchalí,Región Metropolitana de Santiago
"-41.8890x-73.7796 - Jan 4, 2015, 7:42 PM",Los Lagos
Luis Matte Larrain,Región Metropolitana de Santiago
SN Humedal Río Copiapó--Desembocadura,Atacama
Humedal Pudeto--sur,Los Lagos
"San Benito, Melipilla",Región Metropolitana de Santiago
Chamonate,Atacama
"Agua Fresca, Villa Celinda",Magallanes
"CL (-43.568, -74.828)",Los Lagos
Caleta Chañaral,Atacama
MN Islotes de Puñihuil,Los Lagos
"PN Torres del Paine, Pehoe to Cuernos trail",Magallanes
Estación Biológica Senda Darwin,Los Lagos
PN Torres del Paine,Magallanes
Lampa--Puente Negro Sur †,Región Metropolitana de Santiago
"Lago Pehoe (catamaran), Torres del Paine, Magellanes, Chile",Magallanes
Cerro La Cruz--Cumbre,Región Metropolitana de Santiago
Caldera (Los Pulpos),Atacama
Caulín,Los Lagos
MN El Morado,Región Metropolitana de Santiago
SN Laguna Batuco,Región Metropolitana de Santiago
Humedal de Mantagua,Valparaíso
North Entrance to Canal Messier,Aisén del General Carlos Ibáñez del Campo
"San Pedro Del Valle , Los Batros",Bío-Bío
Las Quemas Altas,Los Lagos
PN Vicente Pérez Rosales--Saltos de Petrohué,Los Lagos
Farellones,Región Metropolitana de Santiago
PN Pali Aike,Magallanes
Arica Pelagico,Arica y Parinacota
Valle Nevado,Región Metropolitana de Santiago
Museo de Azapa,Arica y Parinacota
Autodromo de Cabo Negro,Magallanes
"-41.8583x-73.9625 - Jan 5, 2015, 9:18 PM",Los Lagos
INIA Kampenaike,Magallanes
Puente Quilo,Los Lagos
Puente Negro (O'Higgins),Libertador General Bernardo O'Higgins
Quetalmahue--oeste,Los Lagos
"CL-Los Lagos - -41.8719x-73.9481 - Jan 5, 2015, 10:16 PM",Los Lagos
Laguna Cabeza de Mar 4,Magallanes
Puerto Natales--Costanera,Magallanes
roquerío,Tarapacá
carretera,Tarapacá
"NP Torres del Paine, Cuerno to Chileno trail",Magallanes
Playa Corazones,Arica y Parinacota
Laguna Inia,Magallanes
Rio puente Marqueza,Coquimbo
pte allipen,Araucanía
Estero El Culebrón--Desembocadura,Coquimbo
Parque Andino Juncal,Valparaíso
Estero El Culebrón--Interior,Coquimbo
mi casa,Región Metropolitana de Santiago
At Sea - Drake Passage north,Magallanes
Río Lluta--Desembocadura,Arica y Parinacota
Campo de Margoni,Magallanes
Drake Passage--Chilean waters,Magallanes
"Melosilla, parcela 13",Valparaíso
Mi Jardín,Coquimbo
"-41.8616x-73.6189 - Jan 6, 2015, 8:41 PM",Los Lagos
Calle C. Oviedo,Coquimbo
Reñaca--Montemar,Valparaíso
Fuerte Lambert ,Coquimbo
Bryn Coed,Araucanía
Patagonia Virgin,Los Lagos
Isla Magdalena y navegacion,Magallanes
Cordón Baquedano,Magallanes
Molinos,Arica y Parinacota
"Torerres del Paine, Ruta Y-156, Magellanes, Chile",Magallanes
Cabo de Hornos--Mar (Cape Horn at sea),Magallanes
"-41.8116x-74.0321 - Jan 6, 2015, 12:43 PM",Los Lagos
Estero Catapilco--Desembocadura (Laguna Zapallar),Valparaíso
Parque Pingüino Rey (Desembocadura Río Marazzi),Magallanes
Playa Mar Brava--playa y dunas,Los Lagos
Small wetland on the road to Playa Mar Brava,Los Lagos
"Mar Argentino, Drake Passage",Magallanes
Valle del Río Lluta--Poconchile,Arica y Parinacota
Cachagua,Valparaíso
Laguna Santa María,Magallanes
"Isla Navarino, Dientes de Navarino, days VI",Magallanes
Humedal de Campiche,Valparaíso
Cerro Alegre,Valparaíso
shangrila,Ñuble
"CL-Los Lagos - -41.8578x-73.9885 - Jan 7, 2015, 9:12 PM",Los Lagos
"Puente Las Cucharas, Viña del Mar",Valparaíso
"Putemún, IFOP",Los Lagos
Cuesta Cavilolén,Coquimbo
Parque Etnobotánico Omora,Magallanes
PN Conguillío--Sendero Sierra Nevada,Araucanía
"Pasajes Los Robles, Temuco",Araucanía
Ruta Y-71,Magallanes
"Isla Navarino, northern shores",Magallanes
Illapel--sector urbano,Coquimbo
Tranque La Cadellada,Región Metropolitana de Santiago
"Valdivia, Ruta 207",Los Ríos
PCH,Coquimbo
"Camino a Niebla, Valdivia",Los Ríos
"Purranque, Panamericana Sur",Los Lagos
Antofagasta--playa frente a Universidad,Antofagasta
PN Torres del Paine--Camping Lago Pehoé (Noroeste),Magallanes
Humedal el Membrillo,Valparaíso
"Explora Patagonia, Torres del Paine National Park",Magallanes
Estero San Jerónimo--Desembocadura,Valparaíso
Centro de buceo Ecodivers Punta de Choros,Coquimbo
Puerto Eden,Magallanes
La cantera Rio Chillan,Coquimbo
Putre,Arica y Parinacota
torres del paine,Magallanes
Puerto Williams,Magallanes
Glaciar Exploradores,Aisén del General Carlos Ibáñez del Campo
Aucar,Los Lagos
"Aeropuerto El Tepual, Pto Montt",Los Lagos
Drake Passage,Magallanes
Drakes Passage - Ortelius/Cheesemans Ecology Safaris,Magallanes
Machuca,Antofagasta
Muelle Barón,Valparaíso
Caleta de Peñuelas,Coquimbo
