MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,,,1,1,,,,,,,,,2
AGOSTO,,,7,,1,,2,1,,,,,11
SEPTIEMBRE,,,25,,,,3,,,1,1,,30
OCTUBRE,,,53,12,8,20,77,19,1,1,2,,193
NOVIEMBRE,,3,82,61,14,42,292,61,5,9,,1,570
DICIEMBRE,,13,184,121,33,125,596,157,8,34,8,4,1.283
ENERO,,13,141,111,75,183,866,421,35,79,2,8,1.934
FEBRERO,,13,113,78,51,129,831,447,60,169,7,5,1.903
MARZO,,7,96,38,26,107,698,361,38,135,3,1,1.510
ABRIL,,3,57,13,12,71,261,28,2,5,1,,453
MAYO,,1,46,3,12,9,17,1,,,,,89
JUNIO,,,60,4,3,2,1,,,,,,70
