REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
XV,ARICA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,20","0,15","0,35","0,35","0,00","0,00","0,00","0,35"
XV,CAMARONES,,,,,,,,,,,,,,,,,
XV,PUTRE,4,"0,00","0,00","0,00","0,00","1,00","1,00","2,00","0,50","19,94","5,00","25,44","27,44","0,00","0,50","0,50","27,94"
XV,GENERAL LAGOS,,,,,,,,,,,,,,,,,
I,IQUIQUE,,,,,,,,,,,,,,,,,
I,ALTO HOSPICIO,,,,,,,,,,,,,,,,,
I,POZO ALMONTE,,,,,,,,,,,,,,,,,
I,CAMIÑA,,,,,,,,,,,,,,,,,
I,COLCHANE,,,,,,,,,,,,,,,,,
I,HUARA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,25","0,15","1,40","1,40","0,00","0,00","0,00","1,40"
I,PICA,,,,,,,,,,,,,,,,,
II,ANTOFAGASTA,,,,,,,,,,,,,,,,,
II,MEJILLONES,,,,,,,,,,,,,,,,,
II,SIERRA GORDA,,,,,,,,,,,,,,,,,
II,TALTAL,,,,,,,,,,,,,,,,,
II,CALAMA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","13,00","16,00","16,00","0,00","0,00","0,00","16,00"
II,OLLAGUE,,,,,,,,,,,,,,,,,
II,SAN PEDRO DE ATACAMA,,,,,,,,,,,,,,,,,
II,TOCOPILLA,,,,,,,,,,,,,,,,,
II,MARIA ELENA,,,,,,,,,,,,,,,,,
III,COPIAPÓ,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,96","0,00","0,96","0,96","0,00","0,00","0,00","0,96"
III,CALDERA,,,,,,,,,,,,,,,,,
III,TIERRA AMARILLA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,20","1,10","0,60","1,90","1,90","0,00","0,00","0,00","1,90"
III,CHAÑARAL,,,,,,,,,,,,,,,,,
III,DIEGO DE ALMAGRO,,,,,,,,,,,,,,,,,
III,VALLENAR,6,"0,00","0,00","0,00","0,00","0,89","0,17","1,06","1,00","0,51","0,00","1,51","2,57","0,30","0,00","0,30","2,87"
III,ALTO DEL CARMEN,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","5,00","4,00","13,00","13,00","0,00","0,00","0,00","13,00"
III,FREIRINA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,50","0,50","0,50","0,00","0,00","0,00","0,50"
III,HUASCO,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,25","0,00","0,25","0,25","0,00","0,00","0,00","0,25"
IV,ANDACOLLO,,,,,,,,,,,,,,,,,
IV,COQUIMBO,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,21","0,82","1,02","1,02","0,00","0,01","0,01","1,03"
IV,LA HIGUERA,,,,,,,,,,,,,,,,,
IV,LA SERENA,9,"0,00","0,00","0,00","0,00","0,20","0,00","0,20","0,11","0,98","0,46","1,54","1,74","0,00","0,11","0,11","1,85"
