MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,,,"66,5","0,1","2,5","20,1","0,1",,,,,
AGOSTO,,,"89,7","0,1","2,5","1,4","0,0",,,,"4,4",
SEPTIEMBRE,,"16,1","174,5","4,0","12,2","2,5","2,3","0,8","0,5",,,"5,5"
OCTUBRE,,"20,0","4,7",,,"10,0","148,5","0,6","1,1","7,6","10,8","0,5"
NOVIEMBRE,"4,1","4,3","56,6","72,1","15,3","46,7","390,8","49,1","31,5","27,8","158,4","0,1"
DICIEMBRE,"51,6","37,4","276,4","1.459,9","540,1","587,5","321,8","99,2","22,5","19,6","13,7","0,0"
ENERO,"12,4","21,4","1.164,1","356,0","1.030,6","517,6","1.862,5","1.299,5","116,9","159,3","201,9","128,5"
FEBRERO,"32,2","85,3","1.429,1","529,6","1.616,4","765,2","2.622,1","7.114,4","350,2","315,7","2.311,4","4,8"
MARZO,"0,7","3,5","859,1","249,3","376,9","366,7","2.509,4","3.484,9","495,9","1.834,1","2.001,8","0,5"
ABRIL,"1,9","1,0","11,8","1,2","11,6","63,9","388,6","181,8","58,7","33,2","0,9","0,0"
MAYO,"0,3",,"0,1","3,6",,,"0,0","0,4","16,1","28,1",,
JUNIO,"0,6",,"0,2","12,8",,,,"0,4",,,"154,4",
