MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
JULIO,,,,,,"300,3","2,0",,"89,8","4,3",,"0,1",,,"1.678,8",
AGOSTO,5,,,"5,7",,"90,6","2,8","1,5","35,1","15,2","5,3","1,4",,"1,0",,
SEPTIEMBRE,,,,,"1.231,0","83,7","329,6","10,3","4,7","5,1","26,0","67,5","0,6","0,3","1,2","0,2"
OCTUBRE,"0,15",,,"0,8","56,4","257,2","233,5","9,7","14,8","11,9","45,4","171,9","2,9","20,4","1,4","0,2"
NOVIEMBRE,,,9,"1,8","25,8","71,9","93,0","46,0","128,7","22,8","285,4","1.396,3","5,4","38,2","1,6","0,8"
DICIEMBRE,"20,15",,,"9,9","1,3","283,8","37,9","1.623,8","346,8","2.523,8","1.655,5","21.234,0","57,8","184,1","6,7","5,5"
ENERO,,,,"1,2","368,6","360,4","67,4","3.361,3","937,2","586,5","541,4","2.782,6","21,5","64,8","0,1","1.171,9"
FEBRERO,"0,2",,,,"183,2","766,6","15,1","199,6","2.399,3","3.502,7","13.539,4","45.020,5","387,1","443,1","0,8","0,0"
MARZO,,,,"0,2","53,3","380,6","96,1","195,3","549,2","3.044,3","7.037,1","1.537,4","1,3","3,2","2,0",
ABRIL,,"0,2",,,"122,0","6,2","6,0","50,4","111,6","144,5","108,3","101,1","7,4","0,1",,"0,1"
MAYO,,"1,1",7,,"1,0","14,0","2,4","3,3","9,1","15,4","2,4","41,2","1,6","1,9",,
JUNIO,"2,79","0,1",,,,"8,8","0,0",,,,,,,"0,0",,
