PERIODO,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
1976 - 1977,,,,"0,00","148,00","17264,00","613,00","4066,00","1263,00",,"2503,00","391,00",,"208,00","2,00","0,00"
1977 - 1978,,,,"0,00","43,00","1179,00","1664,00","2926,00","6604,00",,"9152,00","4740,00",,"1668,00","1006,00","981,00"
1978 - 1979,,,,"0,00","223,00","1763,00","2336,00","805,00","2401,00",,"9515,00","30365,00",,"24199,00","743,00","3865,00"
1979 - 1980,,,,"0,00","148,00","2237,00","1782,00","6325,00","3552,00",,"4560,00","2112,00",,"1493,00","243,00","83,00"
1980 - 1981,,,,"7,00","129,00","7345,00","2835,00","3491,00","4661,00",,"4373,00","1552,00",,"1042,00","6262,00","359,00"
1981 - 1982,,,,"1,00","453,00","6473,00","4577,00","1851,00","1918,00",,"4528,00","2452,00",,"1533,00","143,00","2913,00"
1982 - 1983,,,,"55,00","2586,00","5545,00","5012,00","1255,00","5182,00",,"5030,00","4385,00",,"15790,00","469,00","439,00"
1983 - 1984,,,,"11,00","2337,00","30738,00","6519,00","3572,00","4286,00",,"6724,00","4076,00",,"6052,00","15524,00","352,00"
1984 - 1985,,,,"39,75","2068,45","11285,00","3651,94","1101,43","5014,61",,"3664,83","1734,96","590,95","603,62","474,90","17341,66"
1985 - 1986,,,,"37,85","661,01","12889,10","7556,07","13434,83","3026,15",,"15379,22","8190,21","562,05","631,07","3842,00","1203,95"
1986 - 1987,,,,"0,00","55,82","15742,86","7763,97","8063,89","3530,75",,"13869,85","35168,78","4886,45","6319,55","1372,10","280,50"
1987 - 1988,,,,"35,25","589,77","1984,61","2077,31","1776,74","8769,84",,"42405,17","6241,53","674,47","14702,04","4335,80","1307,83"
1988 - 1989,,,,"5,35","4799,46","26706,51","11970,33","11732,64","15135,18",,"9267,07","4719,03","1640,84","366,09","1663,25","56,47"
1989 - 1990,,,,"46,95","356,68","6006,68","1102,11","3476,00","5532,23",,"2333,90","2153,43","413,20","997,58","2613,05","513,43"
1990 - 1991,,,,"23,29","243,19","5383,31","4327,19","6357,36","7585,70",,"8880,19","14023,96","2799,46","343,09","201,68","105,22"
