SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,Struthioniformes,Ostriches,Struthionidae,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,Struthioniformes,Ostriches,Struthionidae,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,Struthioniformes,Ostriches,Struthionidae,struth1
Rhea americana,Greater Rhea,grerhe1,species,10.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,16.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,17.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,20.0,Rheiformes,Rheas,Rheidae,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,22.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,23.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,24.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,29.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,30.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,33.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,38.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,39.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus major,Great Tinamou,gretin1,species,42.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,55.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,56.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,57.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,58.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus soui,Little Tinamou,littin1,species,59.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,74.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,75.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,76.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,77.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,86.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,93.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,94.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,95.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,96.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,104.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,105.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,106.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,107.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,110.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,113.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,114.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,115.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,116.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,117.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,126.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,127.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,128.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,129.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,130.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,135.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,136.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,140.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,141.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,142.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,146.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,149.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,152.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,161.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,164.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,165.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,166.0,Tinamiformes,Tinamous,Tinamidae,tinami1
