Año,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
1976 - 1977,,,,"0,00","4,77","53,78","3,93","15,95","3,77",,"3,60","4,07","0,00","13,00","0,67","0,00","13,86"
1977 - 1978,,,,"0,00","2,69","2,46","5,68","12,19","16,31",,"6,22","19,19","0,00","12,54","13,06","51,63","8,86"
1978 - 1979,,,,"0,00","22,30","2,63","8,75","2,86","3,83",,"6,33","97,01","0,00","27,53","5,54","117,12","16,15"
1979 - 1980,,,,"0,00","3,61","2,47","8,41","29,83","13,11",,"6,83","11,87","0,00","3,69","3,33","8,30","7,57"
1980 - 1981,,,,"0,41","4,03","6,32","5,98","12,93","18,87",,"4,51","3,38","0,00","2,15","89,46","32,64","7,64"
1981 - 1982,,,,"0,25","13,73","6,79","10,45","4,71","5,50",,"3,55","4,47","0,00","3,74","1,66","104,04","5,94"
1982 - 1983,,,,"1,62","117,55","6,26","7,14","4,01","14,28",,"4,36","8,24","0,00","23,74","5,33","18,29","9,57"
1983 - 1984,,,,"1,38","41,00","32,91","9,59","12,19","11,55",,"3,77","2,68","0,00","11,91","189,32","23,47","12,83"
1984 - 1985,,,,"3,06","29,98","7,52","5,50","4,01","17,53",,"2,79","3,46","3,36","2,42","3,37","525,50","9,11"
1985 - 1986,,,,"4,21","5,90","11,66","11,52","54,61","7,29",,"9,29","12,84","2,81","2,33","45,74","40,13","12,44"
1986 - 1987,,,,"0,00","1,07","15,24","16,28","33,74","13,74",,"8,55","63,14","20,11","11,55","9,21","15,58","18,68"
1987 - 1988,,,,"11,75","12,29","1,68","4,34","8,80","21,65",,"24,68","12,00","4,96","53,66","24,92","20,76","16,32"
1988 - 1989,,,,"0,36","77,41","25,98","39,90","44,61","30,89",,"4,51","6,74","11,56","3,33","30,80","2,69","16,80"
1989 - 1990,,,,"1,74","6,99","7,29","2,96","17,64","17,40",,"1,52","5,61","4,09","4,56","39,59","22,32","6,21"
1990 - 1991,,,,"1,94","4,05","6,19","16,45","34,74","18,87",,"3,52","21,22","40,57","3,09","6,95","8,09","9,68"
1991 - 1992,,,,"0,50","1,51","6,46","12,70","19,54","7,33",,"0,83","2,98","13,81","1,83","1,39","1,34","5,06"
1992 - 1993,,,,"0,31","9,41","7,05","19,67","22,93","44,84",,"3,27","2,31","8,54","2,24","125,46","79,27","8,17"
1993 - 1994,,,,"0,18","21,59","17,26","16,41","52,71","27,86",,"3,75","2,05","10,99","2,49","42,87","25,46","10,56"
1994 - 1995,,,,"0,48","38,94","4,98","5,34","22,81","7,55",,"2,44","3,66","2,92","2,29","13,69","2,07","4,89"
1995 - 1996,,,,"2,01","2,50","5,48","3,96","13,42","2,90",,"3,09","5,29","17,12","19,30","13,11","52,17","6,81"
1996 - 1997,,,,"0,46","1,47","7,49","4,31","13,87","8,44",,"9,92","4,89","3,78","3,05","6,40","4,01","7,94"
1997 - 1998,,,,"0,57","7,81","6,59","3,22","5,65","5,04",,"3,53","3,51","11,97","86,01","603,94","1,10","17,05"
1998 - 1999,,,,"0,27","4,94","3,30","2,40","96,13","8,66",,"19,40","4,52","6,15","8,50","6,05","11,36","14,89"
1999 - 2000,,,,"0,32","0,71","4,20","2,55","13,39","4,44",,"1,30","2,77","1,44","1,07","8,09","5,67","3,27"
2000 - 2001,,,,"2,12","2,65","2,16","3,24","2,43","2,64",,"0,96","2,78","0,70","1,19","12,79","2,24","2,03"
2001 - 2002,,,,"1,06","129,12","3,95","3,93","14,33","10,38",,"15,22","25,67","12,34","7,48","7,37","2,28","13,44"
2002 - 2003,,,,"2,90","30,95","9,19","10,79","39,42","8,23",,"1,43","3,15","1,46","0,87","3,49","4,24","5,55"
2003 - 2004,,,,"7,44","23,58","17,64","6,49","24,55","5,42",,"4,69","5,22","2,82","1,24","19,05","0,97","7,88"
2004 - 2005,,,,"0,12","35,09","7,88","9,61","55,39","6,30",,"3,23","5,63","1,82","2,04","24,86","536,59","9,82"
2005 - 2006,,,,"0,79","10,23","4,66","3,49","30,07","3,87",,"0,94","1,59","1,28","4,34","46,89","10,12","3,58"
2006 - 2007,,,,"0,00","7,10","3,48","2,09","27,49","3,58",,"14,79","1,49","0,89","4,58","26,11","2,47","8,44"
2007 - 2008,,,,"0,00","3,35","6,62","1,86","30,15","8,47",,"3,00","5,40","5,64","16,44","9,21","15,14","6,03"
2008 - 2009,,,,"0,00","6,07","6,94","10,75","20,01","43,94",,"7,22","10,73","6,37","4,64","131,22","3,36","10,43"
2009 - 2010,,,,"0,00","23,78","18,46","22,65","63,08","17,85",,"7,71","1,00","1,19","0,85","2,53","0,60","14,34"
2010 - 2011,,,,"0,00","10,73","13,76","12,84","37,39","31,11",,"1,21","2,46","1,19","2,77","11,64","1,90","9,50"
